Orthogroup	MN562489.1	OK042108.1
OG0000000	MN562489.1_00102	OK042108.1_00047
OG0000001	MN562489.1_00081	OK042108.1_00068
OG0000002	MN562489.1_00080	OK042108.1_00069
OG0000003	MN562489.1_00087	OK042108.1_00062
OG0000004	MN562489.1_00060	OK042108.1_00087
OG0000005	MN562489.1_00056	OK042108.1_00104
OG0000006	MN562489.1_00116	OK042108.1_00001
OG0000007	MN562489.1_00052	OK042108.1_00109
OG0000008	MN562489.1_00099	OK042108.1_00048
OG0000009	MN562489.1_00059	OK042108.1_00085
OG0000010	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131	OK042108.1_00122
OG0000011	MN562489.1_00128	OK042108.1_00013
OG0000012	MN562489.1_00096	OK042108.1_00055
OG0000013	MN562489.1_00038	OK042108.1_00020
OG0000014	MN562489.1_00058	OK042108.1_00077
OG0000015	MN562489.1_00133	OK042108.1_00076
OG0000016	MN562489.1_00047	OK042108.1_00112
OG0000017	MN562489.1_00011	OK042108.1_00044
OG0000018	MN562489.1_00063	OK042108.1_00092
OG0000019	MN562489.1_00046	OK042108.1_00113
OG0000020	MN562489.1_00012	OK042108.1_00046
OG0000021	MN562489.1_00124	OK042108.1_00070
OG0000022	MN562489.1_00008	OK042108.1_00042
OG0000023	MN562489.1_00023	OK042108.1_00033
OG0000024	MN562489.1_00073	OK042108.1_00050
OG0000025	MN562489.1_00113	OK042108.1_00012
OG0000026	MN562489.1_00062	OK042108.1_00089
OG0000027	MN562489.1_00049	OK042108.1_00111
OG0000028	MN562489.1_00026	OK042108.1_00030
OG0000029	MN562489.1_00041	OK042108.1_00015
OG0000030	MN562489.1_00107	OK042108.1_00074
OG0000032	MN562489.1_00118	OK042108.1_00118
OG0000033	MN562489.1_00050	OK042108.1_00110
OG0000034	MN562489.1_00109	OK042108.1_00075
OG0000035	MN562489.1_00086	OK042108.1_00064
OG0000036	MN562489.1_00132	OK042108.1_00063
OG0000037	MN562489.1_00091	OK042108.1_00058
OG0000038	MN562489.1_00092	OK042108.1_00057
OG0000039	MN562489.1_00097	OK042108.1_00054
OG0000040	MN562489.1_00089	OK042108.1_00053
OG0000041	MN562489.1_00134	OK042108.1_00045
OG0000042	MN562489.1_00013	OK042108.1_00041
OG0000043	MN562489.1_00030	OK042108.1_00028
OG0000044	MN562489.1_00031	OK042108.1_00027
OG0000045	MN562489.1_00036	OK042108.1_00022
OG0000046	MN562489.1_00037	OK042108.1_00021
OG0000047	MN562489.1_00039	OK042108.1_00019
OG0000048	MN562489.1_00051	OK042108.1_00018
OG0000049	MN562489.1_00040	OK042108.1_00016
OG0000050	MN562489.1_00117	OK042108.1_00121
OG0000051	MN562489.1_00119	OK042108.1_00117
OG0000052	MN562489.1_00005	OK042108.1_00116
OG0000053	MN562489.1_00055	OK042108.1_00105
OG0000054	MN562489.1_00105	OK042108.1_00103
OG0000055	MN562489.1_00104	OK042108.1_00100
OG0000056	MN562489.1_00061	OK042108.1_00088
OG0000057	MN562489.1_00057	OK042108.1_00083
OG0000058	MN562489.1_00001	OK042108.1_00081
OG0000059	MN562489.1_00106	OK042108.1_00073
OG0000060	MN562489.1_00083	OK042108.1_00066
OG0000061	MN562489.1_00090	OK042108.1_00059
OG0000062	MN562489.1_00053	OK042108.1_00108
OG0000096	MN562489.1_00045	OK042108.1_00079
OG0000114	MN562489.1_00095	OK042108.1_00056
OG0000116	MN562489.1_00035	OK042108.1_00023
OG0000118	MN562489.1_00054	OK042108.1_00107
