Orthogroup	PP974677	HF920633
OG0000000	AF371960.1_00031 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	AF371960.1_00008 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	AF371960.1_00015 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	AF371960.1_00030 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	AF371960.1_00113 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	AF371960.1_00005 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	AF371960.1_00007 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	AF371960.1_00021 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	AF371960.1_00032 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	AF371960.1_00034 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000010	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000011	AF371960.1_00057 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000012	AF371960.1_00064 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000013	AF371960.1_00088 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	AF371960.1_00092 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	AF371960.1_00107 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000016	AF371960.1_00121 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000017	AF371960.1_00122 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000018	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF371960.1_00078 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	AF371960.1_00089 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	AF371960.1_00096 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	AF371960.1_00112 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000023	AF371960.1_00045 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000025	AF371960.1_00065 hypothetical protein	HF920633.1_00047 hypothetical protein
