Orthogroup	NC_005946.1	AF371960.1
OG0000000	NC_005946.1_00010	AF371960.1_00031
OG0000001	NC_005946.1_00091	AF371960.1_00007
OG0000003	NC_005946.1_00053	AF371960.1_00008
OG0000004	NC_005946.1_00057	AF371960.1_00015
OG0000005	NC_005946.1_00095	AF371960.1_00030
OG0000006	NC_005946.1_00042	AF371960.1_00078
OG0000007	NC_005946.1_00002	AF371960.1_00092
OG0000008	NC_005946.1_00028	AF371960.1_00112
OG0000009	NC_005946.1_00092	AF371960.1_00113
OG0000010	NC_005946.1_00038	AF371960.1_00005
OG0000011	NC_005946.1_00060	AF371960.1_00021
OG0000012	NC_005946.1_00083	AF371960.1_00032
OG0000013	NC_005946.1_00087	AF371960.1_00034
OG0000014	NC_005946.1_00061	AF371960.1_00036
OG0000015	NC_005946.1_00022	AF371960.1_00057
OG0000016	NC_005946.1_00011	AF371960.1_00064
OG0000017	NC_005946.1_00094	AF371960.1_00088
OG0000018	NC_005946.1_00082	AF371960.1_00089
OG0000019	NC_005946.1_00023	AF371960.1_00107
OG0000020	NC_005946.1_00016	AF371960.1_00121
OG0000021	NC_005946.1_00021	AF371960.1_00122
OG0000022	NC_005946.1_00089	AF371960.1_00045
OG0000023	NC_005946.1_00014	AF371960.1_00096
OG0000024	NC_005946.1_00086	AF371960.1_00110
OG0000026	NC_005946.1_00049	AF371960.1_00090
OG0000027	NC_005946.1_00085	AF371960.1_00048
