Orthogroup	NC_005946.1	OL774654.1
OG0000000	NC_005946.1_00010	OL774654.1_00031
OG0000001	NC_005946.1_00091	OL774654.1_00007
OG0000003	NC_005946.1_00053	OL774654.1_00008
OG0000004	NC_005946.1_00057	OL774654.1_00015
OG0000005	NC_005946.1_00095	OL774654.1_00030
OG0000006	NC_005946.1_00042	OL774654.1_00075
OG0000007	NC_005946.1_00002	OL774654.1_00089
OG0000008	NC_005946.1_00028	OL774654.1_00111
OG0000009	NC_005946.1_00092	OL774654.1_00113
OG0000010	NC_005946.1_00038	OL774654.1_00005
OG0000011	NC_005946.1_00060	OL774654.1_00022
OG0000012	NC_005946.1_00083	OL774654.1_00032
OG0000013	NC_005946.1_00087	OL774654.1_00034
OG0000014	NC_005946.1_00061	OL774654.1_00036
OG0000015	NC_005946.1_00022	OL774654.1_00057
OG0000016	NC_005946.1_00011	OL774654.1_00063
OG0000017	NC_005946.1_00094	OL774654.1_00085
OG0000018	NC_005946.1_00082	OL774654.1_00086
OG0000019	NC_005946.1_00023	OL774654.1_00106
OG0000020	NC_005946.1_00016	OL774654.1_00121
OG0000021	NC_005946.1_00021	OL774654.1_00122
OG0000022	NC_005946.1_00089	OL774654.1_00045
OG0000023	NC_005946.1_00014	OL774654.1_00094
OG0000024	NC_005946.1_00086	OL774654.1_00109
OG0000026	NC_005946.1_00049	OL774654.1_00087
OG0000027	NC_005946.1_00085	OL774654.1_00048
OG0000112	NC_005946.1_00006	OL774654.1_00079
