Orthogroup	NC_005946.1	KF938901.1
OG0000000	NC_005946.1_00010	KF938901.1_00126
OG0000001	NC_005946.1_00091	KF938901.1_00044
OG0000003	NC_005946.1_00053	KF938901.1_00080
OG0000004	NC_005946.1_00057	KF938901.1_00005
OG0000005	NC_005946.1_00095	KF938901.1_00067
OG0000006	NC_005946.1_00042	KF938901.1_00072
OG0000007	NC_005946.1_00002	KF938901.1_00053
OG0000008	NC_005946.1_00028	KF938901.1_00043
OG0000009	NC_005946.1_00092	KF938901.1_00114
OG0000010	NC_005946.1_00038	KF938901.1_00124
OG0000011	NC_005946.1_00060	KF938901.1_00054
OG0000012	NC_005946.1_00083	KF938901.1_00047
OG0000013	NC_005946.1_00087	KF938901.1_00123
OG0000014	NC_005946.1_00061	KF938901.1_00023
OG0000015	NC_005946.1_00022	KF938901.1_00060
OG0000016	NC_005946.1_00011	KF938901.1_00092
OG0000017	NC_005946.1_00094	KF938901.1_00012
OG0000018	NC_005946.1_00082	KF938901.1_00046
OG0000019	NC_005946.1_00023	KF938901.1_00025
OG0000020	NC_005946.1_00016	KF938901.1_00074
OG0000021	NC_005946.1_00021	KF938901.1_00095
OG0000022	NC_005946.1_00089	KF938901.1_00031
OG0000137	NC_005946.1_00001	KF938901.1_00086
OG0000138	NC_005946.1_00079	KF938901.1_00007
OG0000147	NC_005946.1_00067	KF938901.1_00094
OG0000148	NC_005946.1_00039	KF938901.1_00048
OG0000151	NC_005946.1_00044	KF938901.1_00027
OG0000154	NC_005946.1_00054	KF938901.1_00069
OG0000159	NC_005946.1_00026	KF938901.1_00017
OG0000161	NC_005946.1_00063	KF938901.1_00118
OG0000162	NC_005946.1_00029	KF938901.1_00009
