Orthogroup	NC_005946.1	OM037668.1
OG0000000	NC_005946.1_00010	OM037668.1_00035
OG0000001	NC_005946.1_00091	OM037668.1_00057
OG0000003	NC_005946.1_00053	OM037668.1_00056
OG0000004	NC_005946.1_00057	OM037668.1_00050
OG0000005	NC_005946.1_00095	OM037668.1_00038
OG0000006	NC_005946.1_00042	OM037668.1_00021
OG0000007	NC_005946.1_00002	OM037668.1_00084
OG0000008	NC_005946.1_00028	OM037668.1_00076
OG0000009	NC_005946.1_00092	OM037668.1_00077
OG0000010	NC_005946.1_00038	OM037668.1_00013
OG0000011	NC_005946.1_00060	OM037668.1_00041
OG0000012	NC_005946.1_00083	OM037668.1_00123
OG0000013	NC_005946.1_00087	OM037668.1_00124
OG0000014	NC_005946.1_00061	OM037668.1_00127
OG0000015	NC_005946.1_00022	OM037668.1_00098
OG0000016	NC_005946.1_00011	OM037668.1_00009
OG0000017	NC_005946.1_00094	OM037668.1_00090
OG0000018	NC_005946.1_00082	OM037668.1_00089
OG0000019	NC_005946.1_00023	OM037668.1_00073
OG0000020	NC_005946.1_00016	OM037668.1_00078
OG0000021	NC_005946.1_00021	OM037668.1_00004
OG0000022	NC_005946.1_00089	OM037668.1_00113
OG0000023	NC_005946.1_00014	OM037668.1_00080
OG0000024	NC_005946.1_00086	OM037668.1_00074
OG0000026	NC_005946.1_00049	OM037668.1_00087
OG0000027	NC_005946.1_00085	OM037668.1_00110
OG0000146	NC_005946.1_00052	OM037668.1_00001
OG0000191	NC_005946.1_00007	OM037668.1_00063
