Orthogroup	NC_005946.1	MF599468.1
OG0000000	NC_005946.1_00010	MF599468.1_00057, MF599468.1_00056
OG0000001	NC_005946.1_00091	MF599468.1_00152
OG0000003	NC_005946.1_00053	MF599468.1_00163
OG0000004	NC_005946.1_00057	MF599468.1_00011
OG0000005	NC_005946.1_00095	MF599468.1_00030
OG0000006	NC_005946.1_00042	MF599468.1_00010
OG0000007	NC_005946.1_00002	MF599468.1_00174
OG0000008	NC_005946.1_00028	MF599468.1_00092
OG0000009	NC_005946.1_00092	MF599468.1_00075
OG0000010	NC_005946.1_00038	MF599468.1_00116
OG0000011	NC_005946.1_00060	MF599468.1_00112
OG0000012	NC_005946.1_00083	MF599468.1_00090
OG0000013	NC_005946.1_00087	MF599468.1_00035
OG0000014	NC_005946.1_00061	MF599468.1_00071
OG0000015	NC_005946.1_00022	MF599468.1_00033
OG0000016	NC_005946.1_00011	MF599468.1_00149
OG0000017	NC_005946.1_00094	MF599468.1_00106
OG0000018	NC_005946.1_00082	MF599468.1_00046
OG0000019	NC_005946.1_00023	MF599468.1_00117
OG0000020	NC_005946.1_00016	MF599468.1_00122
OG0000021	NC_005946.1_00021	MF599468.1_00009
OG0000022	NC_005946.1_00089	MF599468.1_00171
OG0000023	NC_005946.1_00014	MF599468.1_00154
OG0000024	NC_005946.1_00086	MF599468.1_00039
OG0000120	NC_005946.1_00020	MF599468.1_00036
OG0000137	NC_005946.1_00001	MF599468.1_00002
OG0000138	NC_005946.1_00079	MF599468.1_00027
OG0000151	NC_005946.1_00044	MF599468.1_00060
OG0000153	NC_005946.1_00075	MF599468.1_00156, MF599468.1_00066
OG0000154	NC_005946.1_00054	MF599468.1_00161
OG0000160	NC_005946.1_00033	MF599468.1_00089, MF599468.1_00108
OG0000161	NC_005946.1_00063	MF599468.1_00142
OG0000171	NC_005946.1_00062	MF599468.1_00006
