Orthogroup	NC_005946.1	AY894343.1
OG0000000	NC_005946.1_00010	AY894343.1_00029
OG0000001	NC_005946.1_00091	AY894343.1_00007
OG0000003	NC_005946.1_00053	AY894343.1_00008
OG0000004	NC_005946.1_00057	AY894343.1_00015
OG0000005	NC_005946.1_00095	AY894343.1_00028
OG0000006	NC_005946.1_00042	AY894343.1_00076
OG0000007	NC_005946.1_00002	AY894343.1_00090
OG0000008	NC_005946.1_00028	AY894343.1_00113
OG0000009	NC_005946.1_00092	AY894343.1_00115
OG0000010	NC_005946.1_00038	AY894343.1_00005
OG0000011	NC_005946.1_00060	AY894343.1_00021
OG0000012	NC_005946.1_00083	AY894343.1_00030
OG0000013	NC_005946.1_00087	AY894343.1_00032
OG0000014	NC_005946.1_00061	AY894343.1_00034
OG0000015	NC_005946.1_00022	AY894343.1_00056
OG0000016	NC_005946.1_00011	AY894343.1_00063
OG0000017	NC_005946.1_00094	AY894343.1_00086
OG0000018	NC_005946.1_00082	AY894343.1_00087
OG0000019	NC_005946.1_00023	AY894343.1_00108
OG0000020	NC_005946.1_00016	AY894343.1_00123
OG0000021	NC_005946.1_00021	AY894343.1_00124
OG0000022	NC_005946.1_00089	AY894343.1_00043
OG0000023	NC_005946.1_00014	AY894343.1_00096
OG0000024	NC_005946.1_00086	AY894343.1_00111
OG0000026	NC_005946.1_00049	AY894343.1_00088
OG0000027	NC_005946.1_00085	AY894343.1_00046
OG0000112	NC_005946.1_00006	AY894343.1_00080
