Orthogroup	NC_005946.1	MN562489.1
OG0000000	NC_005946.1_00010	MN562489.1_00102
OG0000001	NC_005946.1_00091	MN562489.1_00080
OG0000003	NC_005946.1_00053	MN562489.1_00081
OG0000004	NC_005946.1_00057	MN562489.1_00087
OG0000005	NC_005946.1_00095	MN562489.1_00099
OG0000006	NC_005946.1_00042	MN562489.1_00116
OG0000007	NC_005946.1_00002	MN562489.1_00052
OG0000008	NC_005946.1_00028	MN562489.1_00060
OG0000009	NC_005946.1_00092	MN562489.1_00059
OG0000010	NC_005946.1_00038	MN562489.1_00124
OG0000011	NC_005946.1_00060	MN562489.1_00096
OG0000012	NC_005946.1_00083	MN562489.1_00012
OG0000013	NC_005946.1_00087	MN562489.1_00011
OG0000014	NC_005946.1_00061	MN562489.1_00008
OG0000015	NC_005946.1_00022	MN562489.1_00038
OG0000016	NC_005946.1_00011	MN562489.1_00128
OG0000017	NC_005946.1_00094	MN562489.1_00046
OG0000018	NC_005946.1_00082	MN562489.1_00047
OG0000019	NC_005946.1_00023	MN562489.1_00063
OG0000020	NC_005946.1_00016	MN562489.1_00058
OG0000021	NC_005946.1_00021	MN562489.1_00133
OG0000022	NC_005946.1_00089	MN562489.1_00023
OG0000023	NC_005946.1_00014	MN562489.1_00056
OG0000024	NC_005946.1_00086	MN562489.1_00062
OG0000026	NC_005946.1_00049	MN562489.1_00049
OG0000027	NC_005946.1_00085	MN562489.1_00026
OG0000146	NC_005946.1_00052	MN562489.1_00136
OG0000191	NC_005946.1_00007	MN562489.1_00074
