Orthogroup	KT804738	LS484712
OG0000000	MK689686.1_00029 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	MK689686.1_00014 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000002	MK689686.1_00008 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000003	MK689686.1_00028 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	MK689686.1_00112 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	MK689686.1_00062 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000006	MK689686.1_00021 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000007	MK689686.1_00056 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000008	MK689686.1_00120 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000009	MK689686.1_00121 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000010	MK689686.1_00032 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000011	MK689686.1_00105 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000012	MK689686.1_00007 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000013	MK689686.1_00084 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000014	MK689686.1_00088 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000015	MK689686.1_00030 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000016	MK689686.1_00005 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000017	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000021	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000022	MK689686.1_00043 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000023	MK689686.1_00074 hypothetical protein	LS484712.1_00040 hypothetical protein
