Orthogroup	MCV_Unclassified_OQ475017.1	Irido_IIV6_AF303741.1
OG0000000	MCV_Unclassified_OQ475017.1_00030	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_Unclassified_OQ475017.1_00007	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_Unclassified_OQ475017.1_00008	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_Unclassified_OQ475017.1_00015	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_Unclassified_OQ475017.1_00110	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_Unclassified_OQ475017.1_00087	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_Unclassified_OQ475017.1_00029	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_Unclassified_OQ475017.1_00073	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_Unclassified_OQ475017.1_00112	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_Unclassified_OQ475017.1_00093	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_Unclassified_OQ475017.1_00083	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_Unclassified_OQ475017.1_00035	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_Unclassified_OQ475017.1_00105	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_Unclassified_OQ475017.1_00084	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_Unclassified_OQ475017.1_00031	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_Unclassified_OQ475017.1_00022	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_Unclassified_OQ475017.1_00056	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_Unclassified_OQ475017.1_00120	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_Unclassified_OQ475017.1_00062	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_Unclassified_OQ475017.1_00121	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_Unclassified_OQ475017.1_00033	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_Unclassified_OQ475017.1_00005	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_Unclassified_OQ475017.1_00044	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_Unclassified_OQ475017.1_00027	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_Unclassified_OQ475017.1_00063	Irido_IIV6_AF303741.1_00051
