Orthogroup	MN803438.1	OQ475017.1
OG0000000	MN803438.1_00124	OQ475017.1_00030
OG0000001	MN803438.1_00101, MN803438.1_00056	OQ475017.1_00008
OG0000002	MN803438.1_00023	OQ475017.1_00007
OG0000003	MN803438.1_00113	OQ475017.1_00015
OG0000004	MN803438.1_00104	OQ475017.1_00110
OG0000005	MN803438.1_00071	OQ475017.1_00093
OG0000006	MN803438.1_00142	OQ475017.1_00073
OG0000007	MN803438.1_00027	OQ475017.1_00087
OG0000008	MN803438.1_00106	OQ475017.1_00029
OG0000009	MN803438.1_00109	OQ475017.1_00112
OG0000011	MN803438.1_00049	OQ475017.1_00062
OG0000012	MN803438.1_00128	OQ475017.1_00022
OG0000013	MN803438.1_00007	OQ475017.1_00056
OG0000014	MN803438.1_00070	OQ475017.1_00120
OG0000015	MN803438.1_00046	OQ475017.1_00121
OG0000016	MN803438.1_00122	OQ475017.1_00084
OG0000017	MN803438.1_00035	OQ475017.1_00033
OG0000018	MN803438.1_00051	OQ475017.1_00105
OG0000019	MN803438.1_00097	OQ475017.1_00083
OG0000020	MN803438.1_00068	OQ475017.1_00031
OG0000021	MN803438.1_00089	OQ475017.1_00005
OG0000022	MN803438.1_00013	OQ475017.1_00035
OG0000023	MN803438.1_00077	OQ475017.1_00044
OG0000024	MN803438.1_00024	OQ475017.1_00027
OG0000026	MN803438.1_00126	OQ475017.1_00108
OG0000027	MN803438.1_00037	OQ475017.1_00085
OG0000028	MN803438.1_00054	OQ475017.1_00047
OG0000031	MN803438.1_00145	OQ475017.1_00006
