Orthogroup	MN803438.1	AF303741.1
OG0000000	MN803438.1_00124	AF303741.1_00079, AF303741.1_00152
OG0000001	MN803438.1_00101, MN803438.1_00056	AF303741.1_00200, AF303741.1_00047
OG0000002	MN803438.1_00023	AF303741.1_00125
OG0000003	MN803438.1_00113	AF303741.1_00035
OG0000004	MN803438.1_00104	AF303741.1_00080
OG0000005	MN803438.1_00071	AF303741.1_00129
OG0000006	MN803438.1_00142	AF303741.1_00132
OG0000007	MN803438.1_00027	AF303741.1_00149
OG0000008	MN803438.1_00106	AF303741.1_00165
OG0000009	MN803438.1_00109	AF303741.1_00176
OG0000011	MN803438.1_00049	AF303741.1_00006
OG0000012	MN803438.1_00128	AF303741.1_00011
OG0000013	MN803438.1_00007	AF303741.1_00023
OG0000014	MN803438.1_00070	AF303741.1_00026
OG0000015	MN803438.1_00046	AF303741.1_00046
OG0000016	MN803438.1_00122	AF303741.1_00062
OG0000017	MN803438.1_00035	AF303741.1_00063
OG0000018	MN803438.1_00051	AF303741.1_00081
OG0000019	MN803438.1_00097	AF303741.1_00137
OG0000020	MN803438.1_00068	AF303741.1_00156
OG0000021	MN803438.1_00089	AF303741.1_00158
OG0000022	MN803438.1_00013	AF303741.1_00189
OG0000023	MN803438.1_00077	AF303741.1_00154
OG0000024	MN803438.1_00024	AF303741.1_00168
OG0000113	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125	AF303741.1_00169
OG0000113	MN803438.1_00012	AF303741.1_00170
OG0000134	MN803438.1_00115	AF303741.1_00126
OG0000135	MN803438.1_00006	AF303741.1_00157
OG0000137	MN803438.1_00105	AF303741.1_00031
OG0000138	MN803438.1_00137	AF303741.1_00100, AF303741.1_00162
OG0000139	MN803438.1_00005	AF303741.1_00101
OG0000155	MN803438.1_00135	AF303741.1_00183
