Orthogroup	MN803438.1	AY521625.1
OG0000000	MN803438.1_00124	AY521625.1_00091
OG0000001	MN803438.1_00101, MN803438.1_00056	AY521625.1_00077
OG0000002	MN803438.1_00023	AY521625.1_00064
OG0000003	MN803438.1_00113	AY521625.1_00130
OG0000004	MN803438.1_00104	AY521625.1_00069, AY521625.1_00070
OG0000005	MN803438.1_00071	AY521625.1_00100
OG0000006	MN803438.1_00142	AY521625.1_00051
OG0000007	MN803438.1_00027	AY521625.1_00016
OG0000008	MN803438.1_00106	AY521625.1_00085
OG0000009	MN803438.1_00109	AY521625.1_00142
OG0000011	MN803438.1_00049	AY521625.1_00053
OG0000012	MN803438.1_00128	AY521625.1_00110
OG0000013	MN803438.1_00007	AY521625.1_00048
OG0000014	MN803438.1_00070	AY521625.1_00115
OG0000015	MN803438.1_00046	AY521625.1_00035
OG0000016	MN803438.1_00122	AY521625.1_00073
OG0000017	MN803438.1_00035	AY521625.1_00059
OG0000018	MN803438.1_00051	AY521625.1_00047
OG0000019	MN803438.1_00097	AY521625.1_00086
OG0000020	MN803438.1_00068	AY521625.1_00074
OG0000021	MN803438.1_00089	AY521625.1_00054
OG0000022	MN803438.1_00013	AY521625.1_00065
OG0000023	MN803438.1_00077	AY521625.1_00062
OG0000024	MN803438.1_00024	AY521625.1_00042
OG0000026	MN803438.1_00126	AY521625.1_00060
OG0000027	MN803438.1_00037	AY521625.1_00022
OG0000113	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125	AY521625.1_00036
OG0000134	MN803438.1_00115	AY521625.1_00098
OG0000135	MN803438.1_00006	AY521625.1_00102
OG0000137	MN803438.1_00105	AY521625.1_00056
OG0000151	MN803438.1_00010	AY521625.1_00002
OG0000158	MN803438.1_00003	AY521625.1_00018
OG0000160	MN803438.1_00078	AY521625.1_00126
OG0000176	MN803438.1_00028	AY521625.1_00005
OG0000177	MN803438.1_00030	AY521625.1_00011
OG0000178	MN803438.1_00092	AY521625.1_00140
OG0000206	MN803438.1_00044	AY521625.1_00066
OG0000232	MN803438.1_00110	AY521625.1_00023
OG0000233	MN803438.1_00140	AY521625.1_00057
OG0000234	MN803438.1_00008	AY521625.1_00061
OG0000235	MN803438.1_00026	AY521625.1_00094
OG0000236	MN803438.1_00136	AY521625.1_00116
OG0000237	MN803438.1_00099	AY521625.1_00128
OG0000291	MN803438.1_00004	AY521625.1_00055
OG0000367	MN803438.1_00121	AY521625.1_00097
