Orthogroup	MN803438.1	MT521409.1
OG0000000	MN803438.1_00124	MT521409.1_00103
OG0000001	MN803438.1_00101, MN803438.1_00056	MT521409.1_00082
OG0000002	MN803438.1_00023	MT521409.1_00081
OG0000003	MN803438.1_00113	MT521409.1_00088
OG0000004	MN803438.1_00104	MT521409.1_00061
OG0000005	MN803438.1_00071	MT521409.1_00057
OG0000006	MN803438.1_00142	MT521409.1_00117
OG0000007	MN803438.1_00027	MT521409.1_00053
OG0000008	MN803438.1_00106	MT521409.1_00100
OG0000009	MN803438.1_00109	MT521409.1_00060
OG0000011	MN803438.1_00049	MT521409.1_00129
OG0000012	MN803438.1_00128	MT521409.1_00097
OG0000013	MN803438.1_00007	MT521409.1_00039
OG0000014	MN803438.1_00070	MT521409.1_00059
OG0000015	MN803438.1_00046	MT521409.1_00134
OG0000016	MN803438.1_00122	MT521409.1_00048
OG0000017	MN803438.1_00035	MT521409.1_00011
OG0000018	MN803438.1_00051	MT521409.1_00064
OG0000019	MN803438.1_00097	MT521409.1_00047
OG0000020	MN803438.1_00068	MT521409.1_00012
OG0000021	MN803438.1_00089	MT521409.1_00125
OG0000022	MN803438.1_00013	MT521409.1_00008
OG0000023	MN803438.1_00077	MT521409.1_00024
OG0000024	MN803438.1_00024	MT521409.1_00074
OG0000026	MN803438.1_00126	MT521409.1_00063
OG0000027	MN803438.1_00037	MT521409.1_00050
OG0000028	MN803438.1_00054	MT521409.1_00027
OG0000031	MN803438.1_00145	MT521409.1_00127
OG0000129	MN803438.1_00082	MT521409.1_00076
OG0000139	MN803438.1_00005	MT521409.1_00070
OG0000147	MN803438.1_00022	MT521409.1_00123, MT521409.1_00067
OG0000151	MN803438.1_00010	MT521409.1_00137
OG0000161	MN803438.1_00011, MN803438.1_00096	MT521409.1_00102
OG0000212	MN803438.1_00130	MT521409.1_00049
