Orthogroup	MN803438.1	KF938901.1
OG0000000	MN803438.1_00124	KF938901.1_00126
OG0000001	MN803438.1_00101, MN803438.1_00056	KF938901.1_00080
OG0000002	MN803438.1_00023	KF938901.1_00044
OG0000003	MN803438.1_00113	KF938901.1_00005
OG0000004	MN803438.1_00104	KF938901.1_00043
OG0000005	MN803438.1_00071	KF938901.1_00125
OG0000006	MN803438.1_00142	KF938901.1_00072
OG0000007	MN803438.1_00027	KF938901.1_00053
OG0000008	MN803438.1_00106	KF938901.1_00067
OG0000009	MN803438.1_00109	KF938901.1_00114
OG0000011	MN803438.1_00049	KF938901.1_00092
OG0000012	MN803438.1_00128	KF938901.1_00054
OG0000013	MN803438.1_00007	KF938901.1_00060
OG0000014	MN803438.1_00070	KF938901.1_00074
OG0000015	MN803438.1_00046	KF938901.1_00095
OG0000016	MN803438.1_00122	KF938901.1_00046
OG0000017	MN803438.1_00035	KF938901.1_00123
OG0000018	MN803438.1_00051	KF938901.1_00025
OG0000019	MN803438.1_00097	KF938901.1_00012
OG0000020	MN803438.1_00068	KF938901.1_00047
OG0000021	MN803438.1_00089	KF938901.1_00124
OG0000022	MN803438.1_00013	KF938901.1_00023
OG0000023	MN803438.1_00077	KF938901.1_00031
OG0000024	MN803438.1_00024	KF938901.1_00094
OG0000113	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125	KF938901.1_00104
OG0000134	MN803438.1_00115	KF938901.1_00086
OG0000135	MN803438.1_00006	KF938901.1_00007
OG0000137	MN803438.1_00105	KF938901.1_00048
OG0000138	MN803438.1_00137	KF938901.1_00065
OG0000139	MN803438.1_00005	KF938901.1_00108
OG0000155	MN803438.1_00135	KF938901.1_00106
OG0000158	MN803438.1_00003	KF938901.1_00027
OG0000176	MN803438.1_00028	KF938901.1_00017
OG0000178	MN803438.1_00092	KF938901.1_00009
OG0000210	MN803438.1_00045	KF938901.1_00137
