Orthogroup	MN803438.1	L63545.1
OG0000000	MN803438.1_00124	L63545.1_00007
OG0000001	MN803438.1_00101, MN803438.1_00056	L63545.1_00035
OG0000002	MN803438.1_00023	L63545.1_00079
OG0000003	MN803438.1_00113	L63545.1_00076
OG0000004	MN803438.1_00104	L63545.1_00001
OG0000005	MN803438.1_00071	L63545.1_00056
OG0000006	MN803438.1_00142	L63545.1_00093
OG0000007	MN803438.1_00027	L63545.1_00090
OG0000008	MN803438.1_00106	L63545.1_00108
OG0000009	MN803438.1_00109	L63545.1_00024
OG0000011	MN803438.1_00049	L63545.1_00069
OG0000012	MN803438.1_00128	L63545.1_00071
OG0000013	MN803438.1_00007	L63545.1_00004
OG0000014	MN803438.1_00070	L63545.1_00030
OG0000015	MN803438.1_00046	L63545.1_00110
OG0000016	MN803438.1_00122	L63545.1_00073
OG0000017	MN803438.1_00035	L63545.1_00072
OG0000018	MN803438.1_00051	L63545.1_00068
OG0000019	MN803438.1_00097	L63545.1_00009
OG0000020	MN803438.1_00068	L63545.1_00098
OG0000021	MN803438.1_00089	L63545.1_00043
OG0000022	MN803438.1_00013	L63545.1_00013
OG0000023	MN803438.1_00077	L63545.1_00054
OG0000024	MN803438.1_00024	L63545.1_00015
OG0000026	MN803438.1_00126	L63545.1_00002
OG0000027	MN803438.1_00037	L63545.1_00058
OG0000028	MN803438.1_00054	L63545.1_00003
OG0000113	MN803438.1_00120	L63545.1_00088
OG0000113	MN803438.1_00107	L63545.1_00051
OG0000113	MN803438.1_00094	L63545.1_00047
OG0000113	MN803438.1_00125	L63545.1_00050
OG0000113	MN803438.1_00021, MN803438.1_00112	L63545.1_00042
OG0000113	MN803438.1_00012	L63545.1_00005
OG0000134	MN803438.1_00115	L63545.1_00092
OG0000135	MN803438.1_00006	L63545.1_00016
OG0000137	MN803438.1_00105	L63545.1_00100
OG0000138	MN803438.1_00137	L63545.1_00023
OG0000151	MN803438.1_00010	L63545.1_00085
OG0000155	MN803438.1_00135	L63545.1_00012
OG0000158	MN803438.1_00003	L63545.1_00018
OG0000160	MN803438.1_00078	L63545.1_00055
OG0000161	MN803438.1_00011, MN803438.1_00096	L63545.1_00087
OG0000176	MN803438.1_00028	L63545.1_00066
OG0000177	MN803438.1_00030	L63545.1_00091
OG0000178	MN803438.1_00092	L63545.1_00048
OG0000182	MN803438.1_00067	L63545.1_00057
OG0000182	MN803438.1_00038	L63545.1_00059
OG0000182	MN803438.1_00047	L63545.1_00008
OG0000206	MN803438.1_00044	L63545.1_00106
OG0000210	MN803438.1_00045	L63545.1_00105
OG0000232	MN803438.1_00110	L63545.1_00025
OG0000233	MN803438.1_00140	L63545.1_00082
OG0000234	MN803438.1_00008	L63545.1_00021
OG0000235	MN803438.1_00026	L63545.1_00109
OG0000236	MN803438.1_00136	L63545.1_00022
OG0000237	MN803438.1_00099	L63545.1_00032
OG0000239	MN803438.1_00053, MN803438.1_00103, MN803438.1_00064	L63545.1_00102
OG0000291	MN803438.1_00004	L63545.1_00067
OG0000296	MN803438.1_00133, MN803438.1_00072	L63545.1_00095
OG0000412	MN803438.1_00083	L63545.1_00006
OG0000413	MN803438.1_00001	L63545.1_00010
OG0000414	MN803438.1_00015	L63545.1_00014
OG0000415	MN803438.1_00002	L63545.1_00017
OG0000416	MN803438.1_00095	L63545.1_00019
OG0000417	MN803438.1_00079	L63545.1_00020
OG0000418	MN803438.1_00040	L63545.1_00026
OG0000419	MN803438.1_00025	L63545.1_00028
OG0000420	MN803438.1_00075	L63545.1_00031
OG0000421	MN803438.1_00102	L63545.1_00034
OG0000422	MN803438.1_00062	L63545.1_00036
OG0000423	MN803438.1_00063	L63545.1_00037
OG0000424	MN803438.1_00074	L63545.1_00038
OG0000425	MN803438.1_00019	L63545.1_00039
OG0000426	MN803438.1_00085	L63545.1_00041
OG0000427	MN803438.1_00088	L63545.1_00044
OG0000428	MN803438.1_00132	L63545.1_00045
OG0000429	MN803438.1_00131	L63545.1_00046
OG0000430	MN803438.1_00091	L63545.1_00049
OG0000431	MN803438.1_00114	L63545.1_00052
OG0000432	MN803438.1_00076	L63545.1_00053
OG0000433	MN803438.1_00032	L63545.1_00060
OG0000434	MN803438.1_00086	L63545.1_00062
OG0000435	MN803438.1_00031	L63545.1_00065
OG0000436	MN803438.1_00129	L63545.1_00070
OG0000437	MN803438.1_00033	L63545.1_00074
OG0000438	MN803438.1_00090	L63545.1_00075
OG0000439	MN803438.1_00043	L63545.1_00077
OG0000440	MN803438.1_00042	L63545.1_00078
OG0000441	MN803438.1_00017	L63545.1_00080
OG0000442	MN803438.1_00139	L63545.1_00084
OG0000443	MN803438.1_00057	L63545.1_00086
OG0000444	MN803438.1_00119	L63545.1_00089
OG0000445	MN803438.1_00073	L63545.1_00094
OG0000446	MN803438.1_00134	L63545.1_00096
OG0000447	MN803438.1_00034	L63545.1_00097
OG0000448	MN803438.1_00016	L63545.1_00099
OG0000449	MN803438.1_00141	L63545.1_00101
OG0000450	MN803438.1_00060	L63545.1_00103
OG0000451	MN803438.1_00059	L63545.1_00104
OG0000452	MN803438.1_00144	L63545.1_00107
