Orthogroup	MN803438.1	MK098186.1
OG0000000	MN803438.1_00124	MK098186.1_00030
OG0000001	MN803438.1_00101, MN803438.1_00056	MK098186.1_00008
OG0000002	MN803438.1_00023	MK098186.1_00007
OG0000003	MN803438.1_00113	MK098186.1_00015
OG0000004	MN803438.1_00104	MK098186.1_00109
OG0000005	MN803438.1_00071	MK098186.1_00092
OG0000006	MN803438.1_00142	MK098186.1_00073
OG0000007	MN803438.1_00027	MK098186.1_00087
OG0000008	MN803438.1_00106	MK098186.1_00029
OG0000009	MN803438.1_00109	MK098186.1_00111
OG0000011	MN803438.1_00049	MK098186.1_00061
OG0000012	MN803438.1_00128	MK098186.1_00022
OG0000013	MN803438.1_00007	MK098186.1_00055
OG0000014	MN803438.1_00070	MK098186.1_00119
OG0000015	MN803438.1_00046	MK098186.1_00120
OG0000016	MN803438.1_00122	MK098186.1_00084
OG0000017	MN803438.1_00035	MK098186.1_00033
OG0000018	MN803438.1_00051	MK098186.1_00104
OG0000019	MN803438.1_00097	MK098186.1_00083
OG0000020	MN803438.1_00068	MK098186.1_00031
OG0000021	MN803438.1_00089	MK098186.1_00005
OG0000022	MN803438.1_00013	MK098186.1_00035
OG0000023	MN803438.1_00077	MK098186.1_00044
OG0000024	MN803438.1_00024	MK098186.1_00026
OG0000026	MN803438.1_00126	MK098186.1_00107
OG0000027	MN803438.1_00037	MK098186.1_00085
OG0000028	MN803438.1_00054	MK098186.1_00047
OG0000031	MN803438.1_00145	MK098186.1_00006
