Orthogroup	MN803438.1	MK689685.1
OG0000000	MN803438.1_00124	MK689685.1_00029
OG0000001	MN803438.1_00101, MN803438.1_00056	MK689685.1_00008
OG0000002	MN803438.1_00023	MK689685.1_00007
OG0000003	MN803438.1_00113	MK689685.1_00015
OG0000004	MN803438.1_00104	MK689685.1_00110
OG0000005	MN803438.1_00071	MK689685.1_00094
OG0000006	MN803438.1_00142	MK689685.1_00075
OG0000007	MN803438.1_00027	MK689685.1_00089
OG0000008	MN803438.1_00106	MK689685.1_00028
OG0000009	MN803438.1_00109	MK689685.1_00111
OG0000011	MN803438.1_00049	MK689685.1_00061
OG0000012	MN803438.1_00128	MK689685.1_00021
OG0000013	MN803438.1_00007	MK689685.1_00054
OG0000014	MN803438.1_00070	MK689685.1_00118
OG0000015	MN803438.1_00046	MK689685.1_00119
OG0000016	MN803438.1_00122	MK689685.1_00086
OG0000017	MN803438.1_00035	MK689685.1_00032
OG0000018	MN803438.1_00051	MK689685.1_00105
OG0000019	MN803438.1_00097	MK689685.1_00085
OG0000020	MN803438.1_00068	MK689685.1_00030
OG0000021	MN803438.1_00089	MK689685.1_00005
OG0000022	MN803438.1_00013	MK689685.1_00034
OG0000023	MN803438.1_00077	MK689685.1_00043
OG0000026	MN803438.1_00126	MK689685.1_00108
OG0000027	MN803438.1_00037	MK689685.1_00087
OG0000028	MN803438.1_00054	MK689685.1_00046
OG0000031	MN803438.1_00145	MK689685.1_00006
OG0000129	MN803438.1_00082	MK689685.1_00071
