Orthogroup	ON740976.1	HF920633.1
OG0000000	ON740976.1_00030	HF920633.1_00044
OG0000001	ON740976.1_00008	HF920633.1_00069
OG0000002	ON740976.1_00007	HF920633.1_00073
OG0000003	ON740976.1_00014	HF920633.1_00127
OG0000004	ON740976.1_00111	HF920633.1_00079
OG0000005	ON740976.1_00094	HF920633.1_00085
OG0000006	ON740976.1_00075	HF920633.1_00025
OG0000007	ON740976.1_00089	HF920633.1_00091
OG0000008	ON740976.1_00029	HF920633.1_00043
OG0000009	ON740976.1_00113	HF920633.1_00122
OG0000011	ON740976.1_00063	HF920633.1_00118
OG0000012	ON740976.1_00021	HF920633.1_00001
OG0000013	ON740976.1_00057	HF920633.1_00067
OG0000014	ON740976.1_00121	HF920633.1_00138
OG0000015	ON740976.1_00122	HF920633.1_00058
OG0000016	ON740976.1_00086	HF920633.1_00094
OG0000017	ON740976.1_00033	HF920633.1_00158
OG0000018	ON740976.1_00106	HF920633.1_00003
OG0000019	ON740976.1_00085	HF920633.1_00163
OG0000020	ON740976.1_00031	HF920633.1_00080
OG0000021	ON740976.1_00005	HF920633.1_00097
OG0000022	ON740976.1_00035	HF920633.1_00175
OG0000023	ON740976.1_00044	HF920633.1_00017
OG0000024	ON740976.1_00026	HF920633.1_00062
OG0000025	ON740976.1_00064	HF920633.1_00047
