Orthogroup	ON740976.1	AF303741.1
OG0000000	ON740976.1_00030	AF303741.1_00079, AF303741.1_00152
OG0000001	ON740976.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	ON740976.1_00007	AF303741.1_00125
OG0000003	ON740976.1_00014	AF303741.1_00035
OG0000004	ON740976.1_00111	AF303741.1_00080
OG0000005	ON740976.1_00094	AF303741.1_00129
OG0000006	ON740976.1_00075	AF303741.1_00132
OG0000007	ON740976.1_00089	AF303741.1_00149
OG0000008	ON740976.1_00029	AF303741.1_00165
OG0000009	ON740976.1_00113	AF303741.1_00176
OG0000011	ON740976.1_00063	AF303741.1_00006
OG0000012	ON740976.1_00021	AF303741.1_00011
OG0000013	ON740976.1_00057	AF303741.1_00023
OG0000014	ON740976.1_00121	AF303741.1_00026
OG0000015	ON740976.1_00122	AF303741.1_00046
OG0000016	ON740976.1_00086	AF303741.1_00062
OG0000017	ON740976.1_00033	AF303741.1_00063
OG0000018	ON740976.1_00106	AF303741.1_00081
OG0000019	ON740976.1_00085	AF303741.1_00137
OG0000020	ON740976.1_00031	AF303741.1_00156
OG0000021	ON740976.1_00005	AF303741.1_00158
OG0000022	ON740976.1_00035	AF303741.1_00189
OG0000023	ON740976.1_00044	AF303741.1_00154
OG0000024	ON740976.1_00026	AF303741.1_00168
OG0000025	ON740976.1_00064	AF303741.1_00051
