Orthogroup	PQ335173_PQ335174	MT798582
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00029 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00008 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00014 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00028 hypothetical protein
OG0000004	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00005 hypothetical protein
OG0000005	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	MK689686.1_00007 Major capsid protein
OG0000006	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00021 hypothetical protein
OG0000007	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00030 hypothetical protein
OG0000008	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00032 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00056 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00062 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00084 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00088 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00105 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00120 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00121 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000018	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00074 hypothetical protein
OG0000019	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00085 hypothetical protein
OG0000020	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00093 hypothetical protein
OG0000021	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00110 hypothetical protein
OG0000022	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00043 hypothetical protein
OG0000023	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00112 hypothetical protein
OG0000024	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00063 hypothetical protein
OG0000025	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00086 hypothetical protein
OG0000026	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00108 hypothetical protein
OG0000027	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00046 hypothetical protein
OG0000028	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00006 hypothetical protein
OG0000029	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00057 hypothetical protein
OG0000030	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein
OG0000031	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00002 hypothetical protein
OG0000032	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00013 hypothetical protein
OG0000033	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00017 hypothetical protein
OG0000034	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00018 hypothetical protein
OG0000035	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00019 hypothetical protein
OG0000036	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00022 hypothetical protein
OG0000037	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation	ORF045_refgen ORF045
OG0000038	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00049 hypothetical protein
OG0000039	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00054 hypothetical protein
OG0000040	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00055 hypothetical protein
OG0000041	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00059 hypothetical protein
OG0000042	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00076 hypothetical protein
OG0000043	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00079 hypothetical protein
OG0000044	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00080 hypothetical protein
OG0000045	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00081 hypothetical protein
OG0000046	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00087 hypothetical protein
OG0000047	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00092 hypothetical protein
OG0000048	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00094 hypothetical protein
OG0000049	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00097 hypothetical protein
OG0000050	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00109 hypothetical protein
OG0000051	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00114 hypothetical protein
OG0000052	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00118 hypothetical protein
OG0000054	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00023 hypothetical protein
OG0000055	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00035 hypothetical protein
OG0000056	PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00089 hypothetical protein
OG0000057	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation	putative RNA binding protein_refgen putative RNA binding protein
OG0000060	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00122 hypothetical protein
OG0000061	PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00010 hypothetical protein
OG0000063	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00096 hypothetical protein
OG0000064	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation	ORF066L_refgen ORF066L
OG0000065	PQ335173_PQ335174_00016 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00009 hypothetical protein
OG0000066	PQ335173_PQ335174_00013 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00011 hypothetical protein
OG0000067	PQ335173_PQ335174_00008 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00016 hypothetical protein
OG0000068	PQ335173_PQ335174_00099 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00039 hypothetical protein
OG0000069	PQ335173_PQ335174_00098 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00040 hypothetical protein
OG0000070	PQ335173_PQ335174_00096 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00042 hypothetical protein
OG0000071	PQ335173_PQ335174_00094 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00044 hypothetical protein
OG0000072	PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00045 hypothetical protein
OG0000073	PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00050 hypothetical protein
OG0000074	PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00051 hypothetical protein
OG0000075	PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00061 hypothetical protein
OG0000076	PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00067 hypothetical protein
OG0000077	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00075 hypothetical protein
OG0000078	PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00082 hypothetical protein
OG0000079	TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00083 hypothetical protein
OG0000080	PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00098 hypothetical protein
OG0000081	PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00100 hypothetical protein
OG0000082	PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00117 hypothetical protein
OG0000087	PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00036 hypothetical protein
OG0000088	PQ335173_PQ335174_00097 PQ335173_PQ335174 - hypothetical protein translation	ORF038_refgen ORF039
OG0000090	PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00068 hypothetical protein
OG0000091	PQ335173_PQ335174_00070 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00071 hypothetical protein
OG0000098	PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor
OG0000106	PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00037 hypothetical protein
OG0000108	PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation	MK689686.1_00119 hypothetical protein
