Orthogroup	PQ335173_PQ335174	KX643370
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000005	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000006	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000008	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000019	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000020	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000022	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000025	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000026	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000027	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000028	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation	Lymph_LDV3_KX643370_00001 hypothetical protein
