Orthogroup	PQ335173_PQ335174	AF303741
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00047 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00035 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00165 hypothetical protein
OG0000004	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00158 hypothetical protein
OG0000005	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	AF303741.1_00125 Major capsid protein
OG0000006	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00011 hypothetical protein
OG0000007	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00156 hypothetical protein
OG0000008	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00063 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00023 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00006 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00137 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00149 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00081 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00026 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00046 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000018	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00132 hypothetical protein
OG0000019	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00062 hypothetical protein
OG0000020	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00129 hypothetical protein
OG0000021	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00080 hypothetical protein
OG0000022	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000023	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00176 hypothetical protein
OG0000024	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	AF303741.1_00051 Dual specificity protein phosphatase H1
