Orthogroup	PQ335173_PQ335174	MN562489
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00035 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00056 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	SDDV_ORF038 Flap endonuclease
OG0000004	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00013 hypothetical protein
OG0000005	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	OM037668.1_00057 Major capsid protein
OG0000006	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00041 hypothetical protein
OG0000007	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00123 hypothetical protein
OG0000008	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00124 hypothetical protein
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00098 hypothetical protein
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00009 hypothetical protein
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00090 hypothetical protein
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00084 hypothetical protein
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00073 hypothetical protein
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00078 hypothetical protein
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00004 hypothetical protein
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00021 hypothetical protein
OG0000019	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00089 hypothetical protein
OG0000020	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00080 hypothetical protein
OG0000021	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00076 hypothetical protein
OG0000022	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00113 hypothetical protein
OG0000023	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00077 hypothetical protein
OG0000024	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00024 hypothetical protein
OG0000025	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00087 hypothetical protein
OG0000026	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00074 hypothetical protein
OG0000027	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00110 hypothetical protein
OG0000028	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation	SDDV_ORF011 Tripartite motif-containing protein
OG0000029	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00097 hypothetical protein
OG0000030	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00030 hypothetical protein
OG0000031	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00031 hypothetical protein
OG0000032	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00005 hypothetical protein
OG0000033	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00047 hypothetical protein
