Orthogroup	HF920633.1	MN803438.1
OG0000000	HF920633.1_00044	MN803438.1_00124
OG0000001	HF920633.1_00069	MN803438.1_00101, MN803438.1_00056
OG0000002	HF920633.1_00073	MN803438.1_00023
OG0000003	HF920633.1_00127	MN803438.1_00113
OG0000004	HF920633.1_00079	MN803438.1_00104
OG0000005	HF920633.1_00085	MN803438.1_00071
OG0000006	HF920633.1_00025	MN803438.1_00142
OG0000007	HF920633.1_00091	MN803438.1_00027
OG0000008	HF920633.1_00043	MN803438.1_00106
OG0000009	HF920633.1_00122	MN803438.1_00109
OG0000011	HF920633.1_00118	MN803438.1_00049
OG0000012	HF920633.1_00001	MN803438.1_00128
OG0000013	HF920633.1_00067	MN803438.1_00007
OG0000014	HF920633.1_00138	MN803438.1_00070
OG0000015	HF920633.1_00058	MN803438.1_00046
OG0000016	HF920633.1_00094	MN803438.1_00122
OG0000017	HF920633.1_00158	MN803438.1_00035
OG0000018	HF920633.1_00003	MN803438.1_00051
OG0000019	HF920633.1_00163	MN803438.1_00097
OG0000020	HF920633.1_00080	MN803438.1_00068
OG0000021	HF920633.1_00097	MN803438.1_00089
OG0000022	HF920633.1_00175	MN803438.1_00013
OG0000023	HF920633.1_00017	MN803438.1_00077
OG0000024	HF920633.1_00062	MN803438.1_00024
OG0000113	HF920633.1_00145	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125
OG0000113	HF920633.1_00086	MN803438.1_00012
OG0000134	HF920633.1_00135	MN803438.1_00115
OG0000135	HF920633.1_00064	MN803438.1_00006
OG0000137	HF920633.1_00132	MN803438.1_00105
OG0000138	HF920633.1_00053	MN803438.1_00137
OG0000139	HF920633.1_00156	MN803438.1_00005
OG0000155	HF920633.1_00036	MN803438.1_00135
OG0000158	HF920633.1_00024	MN803438.1_00003
OG0000176	HF920633.1_00171	MN803438.1_00028
OG0000178	HF920633.1_00034	MN803438.1_00092
OG0000210	HF920633.1_00139	MN803438.1_00045
