Orthogroup	HF920633.1	MT521409.1
OG0000000	HF920633.1_00044	MT521409.1_00103
OG0000001	HF920633.1_00069	MT521409.1_00082
OG0000002	HF920633.1_00073	MT521409.1_00081
OG0000003	HF920633.1_00127	MT521409.1_00088
OG0000004	HF920633.1_00079	MT521409.1_00061
OG0000005	HF920633.1_00085	MT521409.1_00057
OG0000006	HF920633.1_00025	MT521409.1_00117
OG0000007	HF920633.1_00091	MT521409.1_00053
OG0000008	HF920633.1_00043	MT521409.1_00100
OG0000009	HF920633.1_00122	MT521409.1_00060
OG0000011	HF920633.1_00118	MT521409.1_00129
OG0000012	HF920633.1_00001	MT521409.1_00097
OG0000013	HF920633.1_00067	MT521409.1_00039
OG0000014	HF920633.1_00138	MT521409.1_00059
OG0000015	HF920633.1_00058	MT521409.1_00134
OG0000016	HF920633.1_00094	MT521409.1_00048
OG0000017	HF920633.1_00158	MT521409.1_00011
OG0000018	HF920633.1_00003	MT521409.1_00064
OG0000019	HF920633.1_00163	MT521409.1_00047
OG0000020	HF920633.1_00080	MT521409.1_00012
OG0000021	HF920633.1_00097	MT521409.1_00125
OG0000022	HF920633.1_00175	MT521409.1_00008
OG0000023	HF920633.1_00017	MT521409.1_00024
OG0000024	HF920633.1_00062	MT521409.1_00074
OG0000025	HF920633.1_00047	MT521409.1_00114
OG0000139	HF920633.1_00156	MT521409.1_00070
