Orthogroup	HF920633.1	OM037668.1
OG0000000	HF920633.1_00044	OM037668.1_00035
OG0000001	HF920633.1_00069	OM037668.1_00056
OG0000002	HF920633.1_00073	OM037668.1_00057
OG0000003	HF920633.1_00127	OM037668.1_00050
OG0000004	HF920633.1_00079	OM037668.1_00076
OG0000005	HF920633.1_00085	OM037668.1_00080
OG0000006	HF920633.1_00025	OM037668.1_00021
OG0000007	HF920633.1_00091	OM037668.1_00084
OG0000008	HF920633.1_00043	OM037668.1_00038
OG0000009	HF920633.1_00122	OM037668.1_00077
OG0000011	HF920633.1_00118	OM037668.1_00009
OG0000012	HF920633.1_00001	OM037668.1_00041
OG0000013	HF920633.1_00067	OM037668.1_00098
OG0000014	HF920633.1_00138	OM037668.1_00078
OG0000015	HF920633.1_00058	OM037668.1_00004
OG0000016	HF920633.1_00094	OM037668.1_00089
OG0000017	HF920633.1_00158	OM037668.1_00124
OG0000018	HF920633.1_00003	OM037668.1_00073
OG0000019	HF920633.1_00163	OM037668.1_00090
OG0000020	HF920633.1_00080	OM037668.1_00123
OG0000021	HF920633.1_00097	OM037668.1_00013
OG0000022	HF920633.1_00175	OM037668.1_00127
OG0000023	HF920633.1_00017	OM037668.1_00113
OG0000024	HF920633.1_00062	OM037668.1_00064
OG0000025	HF920633.1_00047	OM037668.1_00024
OG0000139	HF920633.1_00156	OM037668.1_00068
