Orthogroup	HF920633.1	MK098186.1
OG0000000	HF920633.1_00044	MK098186.1_00030
OG0000001	HF920633.1_00069	MK098186.1_00008
OG0000002	HF920633.1_00073	MK098186.1_00007
OG0000003	HF920633.1_00127	MK098186.1_00015
OG0000004	HF920633.1_00079	MK098186.1_00109
OG0000005	HF920633.1_00085	MK098186.1_00092
OG0000006	HF920633.1_00025	MK098186.1_00073
OG0000007	HF920633.1_00091	MK098186.1_00087
OG0000008	HF920633.1_00043	MK098186.1_00029
OG0000009	HF920633.1_00122	MK098186.1_00111
OG0000011	HF920633.1_00118	MK098186.1_00061
OG0000012	HF920633.1_00001	MK098186.1_00022
OG0000013	HF920633.1_00067	MK098186.1_00055
OG0000014	HF920633.1_00138	MK098186.1_00119
OG0000015	HF920633.1_00058	MK098186.1_00120
OG0000016	HF920633.1_00094	MK098186.1_00084
OG0000017	HF920633.1_00158	MK098186.1_00033
OG0000018	HF920633.1_00003	MK098186.1_00104
OG0000019	HF920633.1_00163	MK098186.1_00083
OG0000020	HF920633.1_00080	MK098186.1_00031
OG0000021	HF920633.1_00097	MK098186.1_00005
OG0000022	HF920633.1_00175	MK098186.1_00035
OG0000023	HF920633.1_00017	MK098186.1_00044
OG0000024	HF920633.1_00062	MK098186.1_00026
OG0000025	HF920633.1_00047	MK098186.1_00062
