Orthogroup	HF920633.1	MN432490.1
OG0000000	HF920633.1_00044	MN432490.1_00032
OG0000001	HF920633.1_00069	MN432490.1_00008
OG0000002	HF920633.1_00073	MN432490.1_00007
OG0000003	HF920633.1_00127	MN432490.1_00015
OG0000004	HF920633.1_00079	MN432490.1_00113
OG0000005	HF920633.1_00085	MN432490.1_00097
OG0000006	HF920633.1_00025	MN432490.1_00078
OG0000007	HF920633.1_00091	MN432490.1_00092
OG0000008	HF920633.1_00043	MN432490.1_00031
OG0000009	HF920633.1_00122	MN432490.1_00114
OG0000011	HF920633.1_00118	MN432490.1_00064
OG0000012	HF920633.1_00001	MN432490.1_00023
OG0000013	HF920633.1_00067	MN432490.1_00058
OG0000014	HF920633.1_00138	MN432490.1_00122
OG0000015	HF920633.1_00058	MN432490.1_00123
OG0000016	HF920633.1_00094	MN432490.1_00089
OG0000017	HF920633.1_00158	MN432490.1_00035
OG0000018	HF920633.1_00003	MN432490.1_00108
OG0000019	HF920633.1_00163	MN432490.1_00088
OG0000020	HF920633.1_00080	MN432490.1_00033
OG0000021	HF920633.1_00097	MN432490.1_00005
OG0000022	HF920633.1_00175	MN432490.1_00037
OG0000023	HF920633.1_00017	MN432490.1_00046
OG0000024	HF920633.1_00062	MN432490.1_00028
OG0000025	HF920633.1_00047	MN432490.1_00065
