Orthogroup	LS484712.1	OQ475017.1
OG0000000	LS484712.1_00114	OQ475017.1_00030
OG0000001	LS484712.1_00142	OQ475017.1_00007
OG0000003	LS484712.1_00095	OQ475017.1_00008
OG0000004	LS484712.1_00187	OQ475017.1_00015
OG0000005	LS484712.1_00248	OQ475017.1_00029
OG0000006	LS484712.1_00040	OQ475017.1_00073
OG0000007	LS484712.1_00234, LS484712.1_00050	OQ475017.1_00087
OG0000009	LS484712.1_00130	OQ475017.1_00112
OG0000010	LS484712.1_00096	OQ475017.1_00005
OG0000011	LS484712.1_00200	OQ475017.1_00022
OG0000012	LS484712.1_00188	OQ475017.1_00031
OG0000013	LS484712.1_00240	OQ475017.1_00033
OG0000014	LS484712.1_00194	OQ475017.1_00035
OG0000015	LS484712.1_00143	OQ475017.1_00056
OG0000016	LS484712.1_00203	OQ475017.1_00062
OG0000017	LS484712.1_00192	OQ475017.1_00083
OG0000018	LS484712.1_00048	OQ475017.1_00084
OG0000019	LS484712.1_00053	OQ475017.1_00105
OG0000020	LS484712.1_00202	OQ475017.1_00120
OG0000021	LS484712.1_00135	OQ475017.1_00121
OG0000022	LS484712.1_00117	OQ475017.1_00044
OG0000068	LS484712.1_00002	OQ475017.1_00065
