Orthogroup	LS484712.1	MN803438.1
OG0000000	LS484712.1_00114	MN803438.1_00124
OG0000001	LS484712.1_00142	MN803438.1_00023
OG0000003	LS484712.1_00095	MN803438.1_00101, MN803438.1_00056
OG0000004	LS484712.1_00187	MN803438.1_00113
OG0000005	LS484712.1_00248	MN803438.1_00106
OG0000006	LS484712.1_00040	MN803438.1_00142
OG0000007	LS484712.1_00234, LS484712.1_00050	MN803438.1_00027
OG0000009	LS484712.1_00130	MN803438.1_00109
OG0000010	LS484712.1_00096	MN803438.1_00089
OG0000011	LS484712.1_00200	MN803438.1_00128
OG0000012	LS484712.1_00188	MN803438.1_00068
OG0000013	LS484712.1_00240	MN803438.1_00035
OG0000014	LS484712.1_00194	MN803438.1_00013
OG0000015	LS484712.1_00143	MN803438.1_00007
OG0000016	LS484712.1_00203	MN803438.1_00049
OG0000017	LS484712.1_00192	MN803438.1_00097
OG0000018	LS484712.1_00048	MN803438.1_00122
OG0000019	LS484712.1_00053	MN803438.1_00051
OG0000020	LS484712.1_00202	MN803438.1_00070
OG0000021	LS484712.1_00135	MN803438.1_00046
OG0000022	LS484712.1_00117	MN803438.1_00077
OG0000137	LS484712.1_00057	MN803438.1_00115
OG0000138	LS484712.1_00197	MN803438.1_00006
OG0000147	LS484712.1_00149	MN803438.1_00024
OG0000148	LS484712.1_00251	MN803438.1_00105
OG0000155	LS484712.1_00063	MN803438.1_00137
