Orthogroup	LS484712.1	MW139932.1
OG0000000	LS484712.1_00114	MW139932.1_00033
OG0000001	LS484712.1_00142	MW139932.1_00007
OG0000003	LS484712.1_00095	MW139932.1_00008
OG0000004	LS484712.1_00187	MW139932.1_00015
OG0000005	LS484712.1_00248	MW139932.1_00032
OG0000006	LS484712.1_00040	MW139932.1_00077
OG0000007	LS484712.1_00234, LS484712.1_00050	MW139932.1_00091
OG0000009	LS484712.1_00130	MW139932.1_00115
OG0000010	LS484712.1_00096	MW139932.1_00005
OG0000011	LS484712.1_00200	MW139932.1_00023
OG0000012	LS484712.1_00188	MW139932.1_00034
OG0000013	LS484712.1_00240	MW139932.1_00036
OG0000014	LS484712.1_00194	MW139932.1_00038
OG0000015	LS484712.1_00143	MW139932.1_00059
OG0000016	LS484712.1_00203	MW139932.1_00065
OG0000017	LS484712.1_00192	MW139932.1_00087
OG0000018	LS484712.1_00048	MW139932.1_00088
OG0000019	LS484712.1_00053	MW139932.1_00108
OG0000020	LS484712.1_00202	MW139932.1_00123
OG0000021	LS484712.1_00135	MW139932.1_00124
OG0000022	LS484712.1_00117	MW139932.1_00047
OG0000068	LS484712.1_00002	MW139932.1_00069
