Orthogroup	LS484712.1	MG570132.1
OG0000000	LS484712.1_00114	MG570132.1_00031
OG0000001	LS484712.1_00142	MG570132.1_00007, MG570132.1_00008
OG0000003	LS484712.1_00095	MG570132.1_00009
OG0000004	LS484712.1_00187	MG570132.1_00016
OG0000005	LS484712.1_00248	MG570132.1_00030
OG0000006	LS484712.1_00040	MG570132.1_00073
OG0000007	LS484712.1_00234, LS484712.1_00050	MG570132.1_00087
OG0000009	LS484712.1_00130	MG570132.1_00110
OG0000010	LS484712.1_00096	MG570132.1_00005
OG0000011	LS484712.1_00200	MG570132.1_00023
OG0000012	LS484712.1_00188	MG570132.1_00032
OG0000013	LS484712.1_00240	MG570132.1_00034
OG0000014	LS484712.1_00194	MG570132.1_00036
OG0000015	LS484712.1_00143	MG570132.1_00057
OG0000016	LS484712.1_00203	MG570132.1_00063
OG0000017	LS484712.1_00192	MG570132.1_00083
OG0000018	LS484712.1_00048	MG570132.1_00084
OG0000019	LS484712.1_00053	MG570132.1_00103
OG0000020	LS484712.1_00202	MG570132.1_00118
OG0000021	LS484712.1_00135	MG570132.1_00119
OG0000022	LS484712.1_00117	MG570132.1_00045
OG0000068	LS484712.1_00002	MG570132.1_00066
