Orthogroup	LS484712.1	MT986830.1
OG0000000	LS484712.1_00114	MT986830.1_00033
OG0000001	LS484712.1_00142	MT986830.1_00007
OG0000003	LS484712.1_00095	MT986830.1_00008
OG0000004	LS484712.1_00187	MT986830.1_00015
OG0000005	LS484712.1_00248	MT986830.1_00032
OG0000006	LS484712.1_00040	MT986830.1_00080
OG0000007	LS484712.1_00234, LS484712.1_00050	MT986830.1_00094
OG0000009	LS484712.1_00130	MT986830.1_00117
OG0000010	LS484712.1_00096	MT986830.1_00005
OG0000011	LS484712.1_00200	MT986830.1_00022
OG0000012	LS484712.1_00188	MT986830.1_00034
OG0000013	LS484712.1_00240	MT986830.1_00036
OG0000014	LS484712.1_00194	MT986830.1_00038
OG0000015	LS484712.1_00143	MT986830.1_00059
OG0000016	LS484712.1_00203	MT986830.1_00065
OG0000017	LS484712.1_00192	MT986830.1_00090
OG0000018	LS484712.1_00048	MT986830.1_00091
OG0000019	LS484712.1_00053	MT986830.1_00111
OG0000020	LS484712.1_00202	MT986830.1_00125
OG0000021	LS484712.1_00135	MT986830.1_00126
OG0000022	LS484712.1_00117	MT986830.1_00046
OG0000068	LS484712.1_00002	MT986830.1_00069
