HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N40.HOG0000000	OG0000000	n0	Chlor_AMIV_KF938901.1_00126	Chlor_IIV22_HF920633.1_00044	Daphi_LS484712.1_00114		Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152																																							
N40.HOG0000001	OG0000001	n0	Chlor_AMIV_KF938901.1_00044	Chlor_IIV22_HF920633.1_00073	Daphi_LS484712.1_00142		Irido_IIV31_HF920637.1_00143	Irido_IIV6_AF303741.1_00125																																							
N40.HOG0000002	OG0000002	n0	Chlor_AMIV_KF938901.1_00080	Chlor_IIV22_HF920633.1_00069	Daphi_LS484712.1_00095		Irido_IIV31_HF920637.1_00059	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047																																							
N40.HOG0000003	OG0000003	n0	Chlor_AMIV_KF938901.1_00005	Chlor_IIV22_HF920633.1_00127	Daphi_LS484712.1_00187		Irido_IIV31_HF920637.1_00159	Irido_IIV6_AF303741.1_00035																																							
N40.HOG0000004	OG0000004	n0	Chlor_AMIV_KF938901.1_00043	Chlor_IIV22_HF920633.1_00079			Irido_IIV31_HF920637.1_00025	Irido_IIV6_AF303741.1_00080																																							
N40.HOG0000005	OG0000005	n0	Chlor_AMIV_KF938901.1_00053	Chlor_IIV22_HF920633.1_00091	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234		Irido_IIV31_HF920637.1_00172	Irido_IIV6_AF303741.1_00149																																							
N40.HOG0000006	OG0000006	n0	Chlor_AMIV_KF938901.1_00067	Chlor_IIV22_HF920633.1_00043	Daphi_LS484712.1_00248		Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Irido_IIV6_AF303741.1_00165																																							
N40.HOG0000007	OG0000007	n14	Chlor_AMIV_KF938901.1_00072	Chlor_IIV22_HF920633.1_00025	Daphi_LS484712.1_00040		Irido_IIV31_HF920637.1_00121	Irido_IIV6_AF303741.1_00132																																							
N40.HOG0000008	OG0000008	n0	Chlor_AMIV_KF938901.1_00114	Chlor_IIV22_HF920633.1_00122	Daphi_LS484712.1_00130		Irido_IIV31_HF920637.1_00153	Irido_IIV6_AF303741.1_00176																																							
N40.HOG0000009	OG0000009	n0	Chlor_AMIV_KF938901.1_00125	Chlor_IIV22_HF920633.1_00085	Daphi_LS484712.1_00256		Irido_IIV31_HF920637.1_00221	Irido_IIV6_AF303741.1_00129																																							
N40.HOG0000010	OG0000011	n0	Chlor_AMIV_KF938901.1_00012	Chlor_IIV22_HF920633.1_00163	Daphi_LS484712.1_00192		Irido_IIV31_HF920637.1_00197	Irido_IIV6_AF303741.1_00137																																							
N40.HOG0000011	OG0000012	n0	Chlor_AMIV_KF938901.1_00023	Chlor_IIV22_HF920633.1_00175	Daphi_LS484712.1_00194		Irido_IIV31_HF920637.1_00213	Irido_IIV6_AF303741.1_00189																																							
N40.HOG0000012	OG0000013	n0	Chlor_AMIV_KF938901.1_00025	Chlor_IIV22_HF920633.1_00003	Daphi_LS484712.1_00053		Irido_IIV31_HF920637.1_00111	Irido_IIV6_AF303741.1_00081																																							
N40.HOG0000013	OG0000014	n0	Chlor_AMIV_KF938901.1_00046	Chlor_IIV22_HF920633.1_00094	Daphi_LS484712.1_00048		Irido_IIV31_HF920637.1_00079	Irido_IIV6_AF303741.1_00062																																							
N40.HOG0000014	OG0000015	n0	Chlor_AMIV_KF938901.1_00047	Chlor_IIV22_HF920633.1_00080	Daphi_LS484712.1_00188		Irido_IIV31_HF920637.1_00031	Irido_IIV6_AF303741.1_00156																																							
N40.HOG0000015	OG0000016	n0	Chlor_AMIV_KF938901.1_00054	Chlor_IIV22_HF920633.1_00001	Daphi_LS484712.1_00200		Irido_IIV31_HF920637.1_00001	Irido_IIV6_AF303741.1_00011																																							
N40.HOG0000016	OG0000017	n0	Chlor_AMIV_KF938901.1_00060	Chlor_IIV22_HF920633.1_00067	Daphi_LS484712.1_00143		Irido_IIV31_HF920637.1_00017	Irido_IIV6_AF303741.1_00023																																							
N40.HOG0000017	OG0000018	n0	Chlor_AMIV_KF938901.1_00074	Chlor_IIV22_HF920633.1_00138	Daphi_LS484712.1_00202		Irido_IIV31_HF920637.1_00108	Irido_IIV6_AF303741.1_00026																																							
N40.HOG0000018	OG0000019	n0	Chlor_AMIV_KF938901.1_00092	Chlor_IIV22_HF920633.1_00118	Daphi_LS484712.1_00203		Irido_IIV31_HF920637.1_00217	Irido_IIV6_AF303741.1_00006																																							
N40.HOG0000019	OG0000020	n0	Chlor_AMIV_KF938901.1_00095	Chlor_IIV22_HF920633.1_00058	Daphi_LS484712.1_00135		Irido_IIV31_HF920637.1_00152	Irido_IIV6_AF303741.1_00046																																							
N40.HOG0000020	OG0000021	n0	Chlor_AMIV_KF938901.1_00123	Chlor_IIV22_HF920633.1_00158	Daphi_LS484712.1_00240		Irido_IIV31_HF920637.1_00073	Irido_IIV6_AF303741.1_00063																																							
