Orthogroup	NC_005946.1	MT986830.1
OG0000000	NC_005946.1_00010	MT986830.1_00033
OG0000001	NC_005946.1_00091	MT986830.1_00007
OG0000003	NC_005946.1_00053	MT986830.1_00008
OG0000004	NC_005946.1_00057	MT986830.1_00015
OG0000005	NC_005946.1_00095	MT986830.1_00032
OG0000006	NC_005946.1_00042	MT986830.1_00080
OG0000007	NC_005946.1_00002	MT986830.1_00094
OG0000008	NC_005946.1_00028	MT986830.1_00116
OG0000009	NC_005946.1_00092	MT986830.1_00117
OG0000010	NC_005946.1_00038	MT986830.1_00005
OG0000011	NC_005946.1_00060	MT986830.1_00022
OG0000012	NC_005946.1_00083	MT986830.1_00034
OG0000013	NC_005946.1_00087	MT986830.1_00036
OG0000014	NC_005946.1_00061	MT986830.1_00038
OG0000015	NC_005946.1_00022	MT986830.1_00059
OG0000016	NC_005946.1_00011	MT986830.1_00065
OG0000017	NC_005946.1_00094	MT986830.1_00090
OG0000018	NC_005946.1_00082	MT986830.1_00091
OG0000019	NC_005946.1_00023	MT986830.1_00111
OG0000020	NC_005946.1_00016	MT986830.1_00125
OG0000021	NC_005946.1_00021	MT986830.1_00126
OG0000022	NC_005946.1_00089	MT986830.1_00046
OG0000023	NC_005946.1_00014	MT986830.1_00100
OG0000024	NC_005946.1_00086	MT986830.1_00114
OG0000026	NC_005946.1_00049	MT986830.1_00092
OG0000027	NC_005946.1_00085	MT986830.1_00049
OG0000112	NC_005946.1_00006	MT986830.1_00084
