Orthogroup	NC_005946.1	AY779031.1
OG0000000	NC_005946.1_00010	AY779031.1_00034
OG0000001	NC_005946.1_00091	AY779031.1_00007
OG0000003	NC_005946.1_00053	AY779031.1_00008
OG0000004	NC_005946.1_00057	AY779031.1_00015, AY779031.1_00016
OG0000005	NC_005946.1_00095	AY779031.1_00033
OG0000006	NC_005946.1_00042	AY779031.1_00083
OG0000007	NC_005946.1_00002	AY779031.1_00098
OG0000008	NC_005946.1_00028	AY779031.1_00121
OG0000009	NC_005946.1_00092	AY779031.1_00122
OG0000010	NC_005946.1_00038	AY779031.1_00005
OG0000011	NC_005946.1_00060	AY779031.1_00023
OG0000012	NC_005946.1_00083	AY779031.1_00035
OG0000013	NC_005946.1_00087	AY779031.1_00037
OG0000014	NC_005946.1_00061	AY779031.1_00039
OG0000015	NC_005946.1_00022	AY779031.1_00061
OG0000016	NC_005946.1_00011	AY779031.1_00068
OG0000017	NC_005946.1_00094	AY779031.1_00094
OG0000018	NC_005946.1_00082	AY779031.1_00095
OG0000019	NC_005946.1_00023	AY779031.1_00116
OG0000020	NC_005946.1_00016	AY779031.1_00129
OG0000021	NC_005946.1_00021	AY779031.1_00130
OG0000022	NC_005946.1_00089	AY779031.1_00049
OG0000023	NC_005946.1_00014	AY779031.1_00103
OG0000024	NC_005946.1_00086	AY779031.1_00119
OG0000026	NC_005946.1_00049	AY779031.1_00096
OG0000027	NC_005946.1_00085	AY779031.1_00052
OG0000112	NC_005946.1_00006	AY779031.1_00088
