Orthogroup	NC_005946.1	MN803438.1
OG0000000	NC_005946.1_00010	MN803438.1_00124
OG0000001	NC_005946.1_00091	MN803438.1_00023
OG0000003	NC_005946.1_00053	MN803438.1_00101, MN803438.1_00056
OG0000004	NC_005946.1_00057	MN803438.1_00113
OG0000005	NC_005946.1_00095	MN803438.1_00106
OG0000006	NC_005946.1_00042	MN803438.1_00142
OG0000007	NC_005946.1_00002	MN803438.1_00027
OG0000008	NC_005946.1_00028	MN803438.1_00104
OG0000009	NC_005946.1_00092	MN803438.1_00109
OG0000010	NC_005946.1_00038	MN803438.1_00089
OG0000011	NC_005946.1_00060	MN803438.1_00128
OG0000012	NC_005946.1_00083	MN803438.1_00068
OG0000013	NC_005946.1_00087	MN803438.1_00035
OG0000014	NC_005946.1_00061	MN803438.1_00013
OG0000015	NC_005946.1_00022	MN803438.1_00007
OG0000016	NC_005946.1_00011	MN803438.1_00049
OG0000017	NC_005946.1_00094	MN803438.1_00097
OG0000018	NC_005946.1_00082	MN803438.1_00122
OG0000019	NC_005946.1_00023	MN803438.1_00051
OG0000020	NC_005946.1_00016	MN803438.1_00070
OG0000021	NC_005946.1_00021	MN803438.1_00046
OG0000022	NC_005946.1_00089	MN803438.1_00077
OG0000023	NC_005946.1_00014	MN803438.1_00071
OG0000024	NC_005946.1_00086	MN803438.1_00126
OG0000026	NC_005946.1_00049	MN803438.1_00037
OG0000027	NC_005946.1_00085	MN803438.1_00054
OG0000120	NC_005946.1_00020	MN803438.1_00107
OG0000137	NC_005946.1_00001	MN803438.1_00115
OG0000138	NC_005946.1_00079	MN803438.1_00006
OG0000146	NC_005946.1_00052	MN803438.1_00010
OG0000147	NC_005946.1_00067	MN803438.1_00024
OG0000148	NC_005946.1_00039	MN803438.1_00105
OG0000151	NC_005946.1_00044	MN803438.1_00003
OG0000153	NC_005946.1_00075	MN803438.1_00078
OG0000159	NC_005946.1_00026	MN803438.1_00028
OG0000160	NC_005946.1_00033	MN803438.1_00030
OG0000162	NC_005946.1_00029	MN803438.1_00092
OG0000171	NC_005946.1_00062	MN803438.1_00044
OG0000193	NC_005946.1_00051	MN803438.1_00110
OG0000195	NC_005946.1_00088	MN803438.1_00008
OG0000196	NC_005946.1_00096	MN803438.1_00026
OG0000197	NC_005946.1_00015	MN803438.1_00136
OG0000198	NC_005946.1_00073	MN803438.1_00099
