Orthogroup	NC_005946.1	MT926123.1
OG0000000	NC_005946.1_00010	MT926123.1_00032
OG0000001	NC_005946.1_00091	MT926123.1_00007
OG0000003	NC_005946.1_00053	MT926123.1_00008
OG0000004	NC_005946.1_00057	MT926123.1_00015
OG0000005	NC_005946.1_00095	MT926123.1_00031
OG0000006	NC_005946.1_00042	MT926123.1_00079
OG0000007	NC_005946.1_00002	MT926123.1_00093
OG0000008	NC_005946.1_00028	MT926123.1_00112
OG0000009	NC_005946.1_00092	MT926123.1_00113
OG0000010	NC_005946.1_00038	MT926123.1_00005
OG0000011	NC_005946.1_00060	MT926123.1_00022
OG0000012	NC_005946.1_00083	MT926123.1_00033
OG0000013	NC_005946.1_00087	MT926123.1_00035
OG0000014	NC_005946.1_00061	MT926123.1_00037
OG0000015	NC_005946.1_00022	MT926123.1_00058
OG0000016	NC_005946.1_00011	MT926123.1_00065
OG0000017	NC_005946.1_00094	MT926123.1_00089
OG0000018	NC_005946.1_00082	MT926123.1_00090
OG0000019	NC_005946.1_00023	MT926123.1_00107
OG0000020	NC_005946.1_00016	MT926123.1_00120
OG0000021	NC_005946.1_00021	MT926123.1_00121
OG0000022	NC_005946.1_00089	MT926123.1_00046
OG0000023	NC_005946.1_00014	MT926123.1_00096
OG0000024	NC_005946.1_00086	MT926123.1_00110
OG0000026	NC_005946.1_00049	MT926123.1_00091
OG0000027	NC_005946.1_00085	MT926123.1_00049
