Orthogroup	NC_005946.1	AY521625.1
OG0000000	NC_005946.1_00010	AY521625.1_00091
OG0000001	NC_005946.1_00091	AY521625.1_00064
OG0000003	NC_005946.1_00053	AY521625.1_00077
OG0000004	NC_005946.1_00057	AY521625.1_00130
OG0000005	NC_005946.1_00095	AY521625.1_00085
OG0000006	NC_005946.1_00042	AY521625.1_00051
OG0000007	NC_005946.1_00002	AY521625.1_00016
OG0000008	NC_005946.1_00028	AY521625.1_00069, AY521625.1_00070
OG0000009	NC_005946.1_00092	AY521625.1_00142
OG0000010	NC_005946.1_00038	AY521625.1_00054
OG0000011	NC_005946.1_00060	AY521625.1_00110
OG0000012	NC_005946.1_00083	AY521625.1_00074
OG0000013	NC_005946.1_00087	AY521625.1_00059
OG0000014	NC_005946.1_00061	AY521625.1_00065
OG0000015	NC_005946.1_00022	AY521625.1_00048
OG0000016	NC_005946.1_00011	AY521625.1_00053
OG0000017	NC_005946.1_00094	AY521625.1_00086
OG0000018	NC_005946.1_00082	AY521625.1_00073
OG0000019	NC_005946.1_00023	AY521625.1_00047
OG0000020	NC_005946.1_00016	AY521625.1_00115
OG0000021	NC_005946.1_00021	AY521625.1_00035
OG0000022	NC_005946.1_00089	AY521625.1_00062
OG0000023	NC_005946.1_00014	AY521625.1_00100
OG0000024	NC_005946.1_00086	AY521625.1_00060
OG0000026	NC_005946.1_00049	AY521625.1_00022
OG0000120	NC_005946.1_00020	AY521625.1_00036
OG0000137	NC_005946.1_00001	AY521625.1_00098
OG0000138	NC_005946.1_00079	AY521625.1_00102
OG0000146	NC_005946.1_00052	AY521625.1_00002
OG0000147	NC_005946.1_00067	AY521625.1_00042
OG0000148	NC_005946.1_00039	AY521625.1_00056
OG0000151	NC_005946.1_00044	AY521625.1_00018
OG0000153	NC_005946.1_00075	AY521625.1_00126
OG0000154	NC_005946.1_00054	AY521625.1_00133
OG0000159	NC_005946.1_00026	AY521625.1_00005
OG0000160	NC_005946.1_00033	AY521625.1_00011
OG0000161	NC_005946.1_00063	AY521625.1_00044
OG0000162	NC_005946.1_00029	AY521625.1_00140
OG0000171	NC_005946.1_00062	AY521625.1_00066
OG0000193	NC_005946.1_00051	AY521625.1_00023
OG0000195	NC_005946.1_00088	AY521625.1_00061
OG0000196	NC_005946.1_00096	AY521625.1_00094
OG0000197	NC_005946.1_00015	AY521625.1_00116
OG0000198	NC_005946.1_00073	AY521625.1_00128
OG0000264	NC_005946.1_00034	AY521625.1_00010
OG0000299	NC_005946.1_00035	AY521625.1_00008
OG0000300	NC_005946.1_00005	AY521625.1_00013
OG0000301	NC_005946.1_00004	AY521625.1_00014
OG0000302	NC_005946.1_00003	AY521625.1_00015
OG0000303	NC_005946.1_00047	AY521625.1_00020
OG0000304	NC_005946.1_00018	AY521625.1_00039
OG0000305	NC_005946.1_00064	AY521625.1_00043
OG0000306	NC_005946.1_00012	AY521625.1_00052
OG0000307	NC_005946.1_00090	AY521625.1_00063
OG0000309	NC_005946.1_00081	AY521625.1_00072
OG0000310	NC_005946.1_00084	AY521625.1_00075
OG0000312	NC_005946.1_00013	AY521625.1_00090
OG0000314	NC_005946.1_00080	AY521625.1_00104
OG0000315	NC_005946.1_00059	AY521625.1_00105
OG0000316	NC_005946.1_00017	AY521625.1_00113
OG0000317	NC_005946.1_00077	AY521625.1_00117
OG0000318	NC_005946.1_00076	AY521625.1_00118
OG0000319	NC_005946.1_00072	AY521625.1_00119
OG0000320	NC_005946.1_00069	AY521625.1_00123
OG0000322	NC_005946.1_00056	AY521625.1_00131
OG0000323	NC_005946.1_00058	AY521625.1_00137
