Orthogroup	NC_005946.1	MT521409.1
OG0000000	NC_005946.1_00010	MT521409.1_00103
OG0000001	NC_005946.1_00091	MT521409.1_00081
OG0000003	NC_005946.1_00053	MT521409.1_00082
OG0000004	NC_005946.1_00057	MT521409.1_00088
OG0000005	NC_005946.1_00095	MT521409.1_00100
OG0000006	NC_005946.1_00042	MT521409.1_00117
OG0000007	NC_005946.1_00002	MT521409.1_00053
OG0000008	NC_005946.1_00028	MT521409.1_00061
OG0000009	NC_005946.1_00092	MT521409.1_00060
OG0000010	NC_005946.1_00038	MT521409.1_00125
OG0000011	NC_005946.1_00060	MT521409.1_00097
OG0000012	NC_005946.1_00083	MT521409.1_00012
OG0000013	NC_005946.1_00087	MT521409.1_00011
OG0000014	NC_005946.1_00061	MT521409.1_00008
OG0000015	NC_005946.1_00022	MT521409.1_00039
OG0000016	NC_005946.1_00011	MT521409.1_00129
OG0000017	NC_005946.1_00094	MT521409.1_00047
OG0000018	NC_005946.1_00082	MT521409.1_00048
OG0000019	NC_005946.1_00023	MT521409.1_00064
OG0000020	NC_005946.1_00016	MT521409.1_00059
OG0000021	NC_005946.1_00021	MT521409.1_00134
OG0000022	NC_005946.1_00089	MT521409.1_00024
OG0000023	NC_005946.1_00014	MT521409.1_00057
OG0000024	NC_005946.1_00086	MT521409.1_00063
OG0000026	NC_005946.1_00049	MT521409.1_00050
OG0000027	NC_005946.1_00085	MT521409.1_00027
OG0000146	NC_005946.1_00052	MT521409.1_00137
OG0000191	NC_005946.1_00007	MT521409.1_00075
