Orthogroup	OQ475017	AY521625
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000005	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000006	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000007	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000008	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000019	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000020	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000021	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000022	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000025	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000026	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000030	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation	AY521625.1_00004 AY521625.1 - hypothetical protein translation
