Orthogroup	OQ475017	HF920633
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	HF920633.1_00044 hypothetical protein
OG0000001	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	HF920633.1_00069 hypothetical protein
OG0000002	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	HF920633.1_00127 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	HF920633.1_00043 hypothetical protein
OG0000004	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	HF920633.1_00097 hypothetical protein
OG0000005	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	HF920633.1_00073 Major capsid protein
OG0000006	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	HF920633.1_00001 hypothetical protein
OG0000007	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	HF920633.1_00080 hypothetical protein
OG0000008	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	HF920633.1_00158 hypothetical protein
OG0000009	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	HF920633.1_00067 hypothetical protein
OG0000011	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	HF920633.1_00118 hypothetical protein
OG0000012	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	HF920633.1_00163 hypothetical protein
OG0000013	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	HF920633.1_00091 hypothetical protein
OG0000014	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	HF920633.1_00003 hypothetical protein
OG0000015	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	HF920633.1_00138 hypothetical protein
OG0000016	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	HF920633.1_00058 hypothetical protein
OG0000017	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000018	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	HF920633.1_00025 hypothetical protein
OG0000019	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	HF920633.1_00094 hypothetical protein
OG0000020	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	HF920633.1_00085 hypothetical protein
OG0000021	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	HF920633.1_00079 hypothetical protein
OG0000022	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	HF920633.1_00017 hypothetical protein
OG0000023	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	HF920633.1_00122 hypothetical protein
OG0000024	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	HF920633.1_00047 hypothetical protein
