Orthogroup	KF938901.1	AF303741.1
OG0000000	KF938901.1_00126	AF303741.1_00079, AF303741.1_00152
OG0000001	KF938901.1_00080	AF303741.1_00200, AF303741.1_00047
OG0000002	KF938901.1_00044	AF303741.1_00125
OG0000003	KF938901.1_00005	AF303741.1_00035
OG0000004	KF938901.1_00043	AF303741.1_00080
OG0000005	KF938901.1_00125	AF303741.1_00129
OG0000006	KF938901.1_00072	AF303741.1_00132
OG0000007	KF938901.1_00053	AF303741.1_00149
OG0000008	KF938901.1_00067	AF303741.1_00165
OG0000009	KF938901.1_00114	AF303741.1_00176
OG0000011	KF938901.1_00092	AF303741.1_00006
OG0000012	KF938901.1_00054	AF303741.1_00011
OG0000013	KF938901.1_00060	AF303741.1_00023
OG0000014	KF938901.1_00074	AF303741.1_00026
OG0000015	KF938901.1_00095	AF303741.1_00046
OG0000016	KF938901.1_00046	AF303741.1_00062
OG0000017	KF938901.1_00123	AF303741.1_00063
OG0000018	KF938901.1_00025	AF303741.1_00081
OG0000019	KF938901.1_00012	AF303741.1_00137
OG0000020	KF938901.1_00047	AF303741.1_00156
OG0000021	KF938901.1_00124	AF303741.1_00158
OG0000022	KF938901.1_00023	AF303741.1_00189
OG0000023	KF938901.1_00031	AF303741.1_00154
OG0000024	KF938901.1_00094	AF303741.1_00168
OG0000025	KF938901.1_00093	AF303741.1_00051
OG0000113	KF938901.1_00104	AF303741.1_00169
OG0000119	KF938901.1_00085, KF938901.1_00140	AF303741.1_00109, AF303741.1_00094, AF303741.1_00173, AF303741.1_00095, AF303741.1_00007, AF303741.1_00066
OG0000123	KF938901.1_00049, KF938901.1_00020, KF938901.1_00115, KF938901.1_00091	AF303741.1_00195
OG0000126	KF938901.1_00030, KF938901.1_00084, KF938901.1_00158, KF938901.1_00119, KF938901.1_00001, KF938901.1_00151, KF938901.1_00127, KF938901.1_00135	AF303741.1_00088
OG0000134	KF938901.1_00086	AF303741.1_00126
OG0000135	KF938901.1_00007	AF303741.1_00157
OG0000137	KF938901.1_00048	AF303741.1_00031
OG0000138	KF938901.1_00065	AF303741.1_00100, AF303741.1_00162
OG0000139	KF938901.1_00108	AF303741.1_00101
OG0000148	KF938901.1_00069	AF303741.1_00072
OG0000153	KF938901.1_00112	AF303741.1_00145, AF303741.1_00090
OG0000155	KF938901.1_00106	AF303741.1_00183
OG0000156	KF938901.1_00118	AF303741.1_00192
OG0000166	KF938901.1_00102	AF303741.1_00056
OG0000167	KF938901.1_00075	AF303741.1_00068, AF303741.1_00067
OG0000168	KF938901.1_00117	AF303741.1_00076
OG0000169	KF938901.1_00103	AF303741.1_00087
OG0000170	KF938901.1_00128	AF303741.1_00091
OG0000171	KF938901.1_00121	AF303741.1_00096
OG0000172	KF938901.1_00101	AF303741.1_00105
OG0000174	KF938901.1_00150	AF303741.1_00179
OG0000175	KF938901.1_00105, KF938901.1_00006	AF303741.1_00181
OG0000185	KF938901.1_00116	AF303741.1_00003
OG0000186	KF938901.1_00133	AF303741.1_00004
OG0000187	KF938901.1_00141	AF303741.1_00015
OG0000188	KF938901.1_00014	AF303741.1_00017
OG0000189	KF938901.1_00100	AF303741.1_00085
OG0000190	KF938901.1_00099	AF303741.1_00086
OG0000191	KF938901.1_00073	AF303741.1_00104
OG0000192	KF938901.1_00152	AF303741.1_00112
OG0000193	KF938901.1_00063	AF303741.1_00122
OG0000194	KF938901.1_00134	AF303741.1_00136
OG0000195	KF938901.1_00139	AF303741.1_00146
OG0000196	KF938901.1_00070	AF303741.1_00148
OG0000197	KF938901.1_00146	AF303741.1_00150
OG0000198	KF938901.1_00077	AF303741.1_00151
OG0000199	KF938901.1_00079	AF303741.1_00161
OG0000201	KF938901.1_00010	AF303741.1_00177
OG0000202	KF938901.1_00008	AF303741.1_00184
OG0000203	KF938901.1_00113	AF303741.1_00193
OG0000204	KF938901.1_00148	AF303741.1_00197
OG0000216	KF938901.1_00130	AF303741.1_00018
OG0000218	KF938901.1_00057	AF303741.1_00042
OG0000219	KF938901.1_00082	AF303741.1_00044
OG0000220	KF938901.1_00109	AF303741.1_00064
OG0000221	KF938901.1_00029	AF303741.1_00074
OG0000222	KF938901.1_00098	AF303741.1_00107
OG0000223	KF938901.1_00136	AF303741.1_00120
OG0000224	KF938901.1_00045	AF303741.1_00124
OG0000225	KF938901.1_00090	AF303741.1_00135
OG0000226	KF938901.1_00155	AF303741.1_00159
OG0000227	KF938901.1_00035	AF303741.1_00160
OG0000228	KF938901.1_00062	AF303741.1_00175
OG0000229	KF938901.1_00107	AF303741.1_00203
OG0000230	KF938901.1_00154	AF303741.1_00204
OG0000281	KF938901.1_00038	AF303741.1_00028
OG0000282	KF938901.1_00015	AF303741.1_00053
OG0000284	KF938901.1_00016	AF303741.1_00093
OG0000285	KF938901.1_00018	AF303741.1_00115
OG0000286	KF938901.1_00040	AF303741.1_00116
OG0000287	KF938901.1_00122	AF303741.1_00201
