Orthogroup	KF938901.1	OL310752.1
OG0000000	KF938901.1_00126	OL310752.1_00108, OL310752.1_00113
OG0000001	KF938901.1_00080	OL310752.1_00018
OG0000002	KF938901.1_00044	OL310752.1_00019
OG0000003	KF938901.1_00005	OL310752.1_00012
OG0000004	KF938901.1_00043	OL310752.1_00060
OG0000005	KF938901.1_00125	OL310752.1_00036
OG0000006	KF938901.1_00072	OL310752.1_00078
OG0000007	KF938901.1_00053	OL310752.1_00042
OG0000008	KF938901.1_00067	OL310752.1_00107
OG0000009	KF938901.1_00114	OL310752.1_00116
OG0000011	KF938901.1_00092	OL310752.1_00027
OG0000012	KF938901.1_00054	OL310752.1_00004
OG0000013	KF938901.1_00060	OL310752.1_00096
OG0000014	KF938901.1_00074	OL310752.1_00071
OG0000015	KF938901.1_00095	OL310752.1_00072
OG0000016	KF938901.1_00046	OL310752.1_00045
OG0000017	KF938901.1_00123	OL310752.1_00085
OG0000018	KF938901.1_00025	OL310752.1_00065
OG0000019	KF938901.1_00012	OL310752.1_00046
OG0000020	KF938901.1_00047	OL310752.1_00114
OG0000021	KF938901.1_00124	OL310752.1_00021
OG0000022	KF938901.1_00023	OL310752.1_00083
OG0000023	KF938901.1_00031	OL310752.1_00052
OG0000024	KF938901.1_00094	OL310752.1_00104
OG0000025	KF938901.1_00093	OL310752.1_00028
