Orthogroup	KF938901.1	HF920633.1
OG0000000	KF938901.1_00126	HF920633.1_00044
OG0000001	KF938901.1_00080	HF920633.1_00069
OG0000002	KF938901.1_00044	HF920633.1_00073
OG0000003	KF938901.1_00005	HF920633.1_00127
OG0000004	KF938901.1_00043	HF920633.1_00079
OG0000005	KF938901.1_00125	HF920633.1_00085
OG0000006	KF938901.1_00072	HF920633.1_00025
OG0000007	KF938901.1_00053	HF920633.1_00091
OG0000008	KF938901.1_00067	HF920633.1_00043
OG0000009	KF938901.1_00114	HF920633.1_00122
OG0000011	KF938901.1_00092	HF920633.1_00118
OG0000012	KF938901.1_00054	HF920633.1_00001
OG0000013	KF938901.1_00060	HF920633.1_00067
OG0000014	KF938901.1_00074	HF920633.1_00138
OG0000015	KF938901.1_00095	HF920633.1_00058
OG0000016	KF938901.1_00046	HF920633.1_00094
OG0000017	KF938901.1_00123	HF920633.1_00158
OG0000018	KF938901.1_00025	HF920633.1_00003
OG0000019	KF938901.1_00012	HF920633.1_00163
OG0000020	KF938901.1_00047	HF920633.1_00080
OG0000021	KF938901.1_00124	HF920633.1_00097
OG0000022	KF938901.1_00023	HF920633.1_00175
OG0000023	KF938901.1_00031	HF920633.1_00017
OG0000024	KF938901.1_00094	HF920633.1_00062
OG0000025	KF938901.1_00093	HF920633.1_00047
OG0000113	KF938901.1_00104	HF920633.1_00145
OG0000119	KF938901.1_00085, KF938901.1_00140	HF920633.1_00040, HF920633.1_00117, HF920633.1_00143, HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170
OG0000123	KF938901.1_00049	HF920633.1_00130
OG0000123	KF938901.1_00020	HF920633.1_00174
OG0000123	KF938901.1_00115, KF938901.1_00091	HF920633.1_00007
OG0000126	KF938901.1_00030, KF938901.1_00084, KF938901.1_00158, KF938901.1_00119, KF938901.1_00001, KF938901.1_00151, KF938901.1_00127, KF938901.1_00135	HF920633.1_00059, HF920633.1_00119, HF920633.1_00081
OG0000134	KF938901.1_00086	HF920633.1_00135
OG0000135	KF938901.1_00007	HF920633.1_00064
OG0000137	KF938901.1_00048	HF920633.1_00132
OG0000138	KF938901.1_00065	HF920633.1_00053
OG0000139	KF938901.1_00108	HF920633.1_00156
OG0000148	KF938901.1_00069	HF920633.1_00026
OG0000153	KF938901.1_00112	HF920633.1_00088
OG0000154	KF938901.1_00153	HF920633.1_00096
OG0000154	KF938901.1_00066	HF920633.1_00114
OG0000155	KF938901.1_00106	HF920633.1_00036
OG0000156	KF938901.1_00118	HF920633.1_00106
OG0000158	KF938901.1_00027	HF920633.1_00024
OG0000166	KF938901.1_00102	HF920633.1_00134
OG0000167	KF938901.1_00075	HF920633.1_00039
OG0000168	KF938901.1_00117	HF920633.1_00105
OG0000169	KF938901.1_00103	HF920633.1_00082
OG0000170	KF938901.1_00128	HF920633.1_00169
OG0000171	KF938901.1_00121	HF920633.1_00177
OG0000172	KF938901.1_00101	HF920633.1_00144
OG0000174	KF938901.1_00150	HF920633.1_00046
OG0000175	KF938901.1_00105	HF920633.1_00031
OG0000175	KF938901.1_00006	HF920633.1_00161
OG0000176	KF938901.1_00017	HF920633.1_00171
OG0000178	KF938901.1_00009	HF920633.1_00034
OG0000185	KF938901.1_00116	HF920633.1_00128
OG0000186	KF938901.1_00133	HF920633.1_00110
OG0000187	KF938901.1_00141	HF920633.1_00149
OG0000188	KF938901.1_00014	HF920633.1_00165
OG0000189	KF938901.1_00100	HF920633.1_00103
OG0000190	KF938901.1_00099	HF920633.1_00020, HF920633.1_00021
OG0000191	KF938901.1_00073	HF920633.1_00032
OG0000192	KF938901.1_00152	HF920633.1_00022
OG0000193	KF938901.1_00063	HF920633.1_00131
OG0000194	KF938901.1_00134	HF920633.1_00120
OG0000195	KF938901.1_00139	HF920633.1_00146
OG0000196	KF938901.1_00070	HF920633.1_00056
OG0000197	KF938901.1_00146	HF920633.1_00123
OG0000198	KF938901.1_00077	HF920633.1_00050
OG0000199	KF938901.1_00079	HF920633.1_00098
OG0000201	KF938901.1_00010	HF920633.1_00035
OG0000202	KF938901.1_00008	HF920633.1_00029
OG0000203	KF938901.1_00113	HF920633.1_00121
OG0000204	KF938901.1_00148	HF920633.1_00125
OG0000210	KF938901.1_00137	HF920633.1_00139
OG0000216	KF938901.1_00130	HF920633.1_00008
OG0000218	KF938901.1_00057	HF920633.1_00063
OG0000219	KF938901.1_00082	HF920633.1_00160
OG0000220	KF938901.1_00109	HF920633.1_00061
OG0000221	KF938901.1_00029	HF920633.1_00018
OG0000222	KF938901.1_00098	HF920633.1_00023
OG0000223	KF938901.1_00136	HF920633.1_00102
OG0000224	KF938901.1_00045	HF920633.1_00074
OG0000225	KF938901.1_00090	HF920633.1_00087
OG0000226	KF938901.1_00155	HF920633.1_00041
OG0000227	KF938901.1_00035	HF920633.1_00013
OG0000228	KF938901.1_00062	HF920633.1_00113
OG0000229	KF938901.1_00107	HF920633.1_00037
OG0000230	KF938901.1_00154	HF920633.1_00155
OG0000281	KF938901.1_00038	HF920633.1_00016
OG0000285	KF938901.1_00018	HF920633.1_00070
OG0000286	KF938901.1_00040	HF920633.1_00167
OG0000292	KF938901.1_00034, KF938901.1_00032	HF920633.1_00012
OG0000293	KF938901.1_00050	HF920633.1_00060
OG0000294	KF938901.1_00083	HF920633.1_00159
OG0000295	KF938901.1_00013	HF920633.1_00164
OG0000381	KF938901.1_00026	HF920633.1_00005
OG0000382	KF938901.1_00028	HF920633.1_00006
OG0000383	KF938901.1_00037	HF920633.1_00015
OG0000384	KF938901.1_00149	HF920633.1_00033
OG0000385	KF938901.1_00110	HF920633.1_00042
OG0000386	KF938901.1_00041	HF920633.1_00045
OG0000387	KF938901.1_00068	HF920633.1_00048
OG0000388	KF938901.1_00004	HF920633.1_00049
OG0000389	KF938901.1_00078	HF920633.1_00051
OG0000390	KF938901.1_00011	HF920633.1_00052
OG0000391	KF938901.1_00059	HF920633.1_00066
OG0000392	KF938901.1_00042	HF920633.1_00078
OG0000393	KF938901.1_00096	HF920633.1_00089
OG0000394	KF938901.1_00051	HF920633.1_00090
OG0000395	KF938901.1_00002	HF920633.1_00095
OG0000396	KF938901.1_00132	HF920633.1_00111
OG0000398	KF938901.1_00144	HF920633.1_00115
OG0000399	KF938901.1_00087	HF920633.1_00136
OG0000401	KF938901.1_00061	HF920633.1_00141
OG0000402	KF938901.1_00071	HF920633.1_00142
OG0000403	KF938901.1_00003	HF920633.1_00151
OG0000404	KF938901.1_00129	HF920633.1_00157
OG0000405	KF938901.1_00088	HF920633.1_00162
