Orthogroup	KF938901.1	NC_005946.1
OG0000000	KF938901.1_00126	NC_005946.1_00010
OG0000001	KF938901.1_00080	NC_005946.1_00053
OG0000002	KF938901.1_00044	NC_005946.1_00091
OG0000003	KF938901.1_00005	NC_005946.1_00057
OG0000004	KF938901.1_00043	NC_005946.1_00028
OG0000005	KF938901.1_00125	NC_005946.1_00014
OG0000006	KF938901.1_00072	NC_005946.1_00042
OG0000007	KF938901.1_00053	NC_005946.1_00002
OG0000008	KF938901.1_00067	NC_005946.1_00095
OG0000009	KF938901.1_00114	NC_005946.1_00092
OG0000011	KF938901.1_00092	NC_005946.1_00011
OG0000012	KF938901.1_00054	NC_005946.1_00060
OG0000013	KF938901.1_00060	NC_005946.1_00022
OG0000014	KF938901.1_00074	NC_005946.1_00016
OG0000015	KF938901.1_00095	NC_005946.1_00021
OG0000016	KF938901.1_00046	NC_005946.1_00082
OG0000017	KF938901.1_00123	NC_005946.1_00087
OG0000018	KF938901.1_00025	NC_005946.1_00023
OG0000019	KF938901.1_00012	NC_005946.1_00094
OG0000020	KF938901.1_00047	NC_005946.1_00083
OG0000021	KF938901.1_00124	NC_005946.1_00038
OG0000022	KF938901.1_00023	NC_005946.1_00061
OG0000023	KF938901.1_00031	NC_005946.1_00089
OG0000024	KF938901.1_00094	NC_005946.1_00067
OG0000113	KF938901.1_00104	NC_005946.1_00020
OG0000134	KF938901.1_00086	NC_005946.1_00001
OG0000135	KF938901.1_00007	NC_005946.1_00079
OG0000137	KF938901.1_00048	NC_005946.1_00039
OG0000148	KF938901.1_00069	NC_005946.1_00054
OG0000156	KF938901.1_00118	NC_005946.1_00063
OG0000158	KF938901.1_00027	NC_005946.1_00044
OG0000172	KF938901.1_00101	NC_005946.1_00004
OG0000176	KF938901.1_00017	NC_005946.1_00026
OG0000178	KF938901.1_00009	NC_005946.1_00029
