Orthogroup	MCV_ML1_SDDV_NC_027778.1	Rana_FV3_NC_005946.1
OG0000000	MCV_ML1_SDDV_NC_027778.1_00083	Rana_FV3_NC_005946.1_00010
OG0000001	MCV_ML1_SDDV_NC_027778.1_00061	Rana_FV3_NC_005946.1_00091
OG0000002	MCV_ML1_SDDV_NC_027778.1_00062	Rana_FV3_NC_005946.1_00053
OG0000003	MCV_ML1_SDDV_NC_027778.1_00068	Rana_FV3_NC_005946.1_00057
OG0000004	MCV_ML1_SDDV_NC_027778.1_00040	Rana_FV3_NC_005946.1_00028
OG0000005	MCV_ML1_SDDV_NC_027778.1_00032	Rana_FV3_NC_005946.1_00002
OG0000006	MCV_ML1_SDDV_NC_027778.1_00080	Rana_FV3_NC_005946.1_00095
OG0000007	MCV_ML1_SDDV_NC_027778.1_00098	Rana_FV3_NC_005946.1_00042
OG0000008	MCV_ML1_SDDV_NC_027778.1_00039	Rana_FV3_NC_005946.1_00092
OG0000009	MCV_ML1_SDDV_NC_027778.1_00036	Rana_FV3_NC_005946.1_00014
OG0000011	MCV_ML1_SDDV_NC_027778.1_00026	Rana_FV3_NC_005946.1_00094
OG0000012	MCV_ML1_SDDV_NC_027778.1_00129	Rana_FV3_NC_005946.1_00061
OG0000013	MCV_ML1_SDDV_NC_027778.1_00043	Rana_FV3_NC_005946.1_00023
OG0000014	MCV_ML1_SDDV_NC_027778.1_00027	Rana_FV3_NC_005946.1_00082
OG0000015	MCV_ML1_SDDV_NC_027778.1_00133	Rana_FV3_NC_005946.1_00083
OG0000016	MCV_ML1_SDDV_NC_027778.1_00077	Rana_FV3_NC_005946.1_00060
OG0000017	MCV_ML1_SDDV_NC_027778.1_00018	Rana_FV3_NC_005946.1_00022
OG0000018	MCV_ML1_SDDV_NC_027778.1_00038	Rana_FV3_NC_005946.1_00016
OG0000019	MCV_ML1_SDDV_NC_027778.1_00111	Rana_FV3_NC_005946.1_00011
OG0000020	MCV_ML1_SDDV_NC_027778.1_00116	Rana_FV3_NC_005946.1_00021
OG0000021	MCV_ML1_SDDV_NC_027778.1_00132	Rana_FV3_NC_005946.1_00087
OG0000022	MCV_ML1_SDDV_NC_027778.1_00106	Rana_FV3_NC_005946.1_00038
OG0000023	MCV_ML1_SDDV_NC_027778.1_00003	Rana_FV3_NC_005946.1_00089
OG0000024	MCV_ML1_SDDV_NC_027778.1_00054	Rana_FV3_NC_005946.1_00067
OG0000026	MCV_ML1_SDDV_NC_027778.1_00042	Rana_FV3_NC_005946.1_00086
OG0000027	MCV_ML1_SDDV_NC_027778.1_00029	Rana_FV3_NC_005946.1_00049
OG0000028	MCV_ML1_SDDV_NC_027778.1_00006	Rana_FV3_NC_005946.1_00085
OG0000150	MCV_ML1_SDDV_NC_027778.1_00119	Rana_FV3_NC_005946.1_00052
OG0000209	MCV_ML1_SDDV_NC_027778.1_00055	Rana_FV3_NC_005946.1_00007
