Orthogroup	MCV_ML1_SDDV_NC_027778.1	Lymph_LDV1_L63545.1
OG0000000	MCV_ML1_SDDV_NC_027778.1_00083	Lymph_LDV1_L63545.1_00007
OG0000001	MCV_ML1_SDDV_NC_027778.1_00061	Lymph_LDV1_L63545.1_00079
OG0000002	MCV_ML1_SDDV_NC_027778.1_00062	Lymph_LDV1_L63545.1_00035
OG0000003	MCV_ML1_SDDV_NC_027778.1_00068	Lymph_LDV1_L63545.1_00076
OG0000004	MCV_ML1_SDDV_NC_027778.1_00040	Lymph_LDV1_L63545.1_00001
OG0000005	MCV_ML1_SDDV_NC_027778.1_00032	Lymph_LDV1_L63545.1_00090
OG0000006	MCV_ML1_SDDV_NC_027778.1_00080	Lymph_LDV1_L63545.1_00108
OG0000007	MCV_ML1_SDDV_NC_027778.1_00098	Lymph_LDV1_L63545.1_00093
OG0000008	MCV_ML1_SDDV_NC_027778.1_00039	Lymph_LDV1_L63545.1_00024
OG0000009	MCV_ML1_SDDV_NC_027778.1_00036	Lymph_LDV1_L63545.1_00056
OG0000011	MCV_ML1_SDDV_NC_027778.1_00026	Lymph_LDV1_L63545.1_00009
OG0000012	MCV_ML1_SDDV_NC_027778.1_00129	Lymph_LDV1_L63545.1_00013
OG0000013	MCV_ML1_SDDV_NC_027778.1_00043	Lymph_LDV1_L63545.1_00068
OG0000014	MCV_ML1_SDDV_NC_027778.1_00027	Lymph_LDV1_L63545.1_00073
OG0000015	MCV_ML1_SDDV_NC_027778.1_00133	Lymph_LDV1_L63545.1_00098
OG0000016	MCV_ML1_SDDV_NC_027778.1_00077	Lymph_LDV1_L63545.1_00071
OG0000017	MCV_ML1_SDDV_NC_027778.1_00018	Lymph_LDV1_L63545.1_00004
OG0000018	MCV_ML1_SDDV_NC_027778.1_00038	Lymph_LDV1_L63545.1_00030
OG0000019	MCV_ML1_SDDV_NC_027778.1_00111	Lymph_LDV1_L63545.1_00069
OG0000020	MCV_ML1_SDDV_NC_027778.1_00116	Lymph_LDV1_L63545.1_00110
OG0000021	MCV_ML1_SDDV_NC_027778.1_00132	Lymph_LDV1_L63545.1_00072
OG0000022	MCV_ML1_SDDV_NC_027778.1_00106	Lymph_LDV1_L63545.1_00043
OG0000023	MCV_ML1_SDDV_NC_027778.1_00003	Lymph_LDV1_L63545.1_00054
OG0000024	MCV_ML1_SDDV_NC_027778.1_00054	Lymph_LDV1_L63545.1_00015
OG0000026	MCV_ML1_SDDV_NC_027778.1_00042	Lymph_LDV1_L63545.1_00002
OG0000027	MCV_ML1_SDDV_NC_027778.1_00029	Lymph_LDV1_L63545.1_00058
OG0000028	MCV_ML1_SDDV_NC_027778.1_00006	Lymph_LDV1_L63545.1_00003
OG0000150	MCV_ML1_SDDV_NC_027778.1_00119	Lymph_LDV1_L63545.1_00085
OG0000161	MCV_ML1_SDDV_NC_027778.1_00082	Lymph_LDV1_L63545.1_00087
