Orthogroup	MT926123.1	HF920637.1
OG0000000	MT926123.1_00032	HF920637.1_00129, HF920637.1_00164
OG0000001	MT926123.1_00008	HF920637.1_00059
OG0000002	MT926123.1_00007	HF920637.1_00143
OG0000003	MT926123.1_00015	HF920637.1_00159
OG0000004	MT926123.1_00112	HF920637.1_00025
OG0000005	MT926123.1_00096	HF920637.1_00221
OG0000006	MT926123.1_00079	HF920637.1_00121
OG0000007	MT926123.1_00093	HF920637.1_00172
OG0000008	MT926123.1_00031	HF920637.1_00176, HF920637.1_00175
OG0000009	MT926123.1_00113	HF920637.1_00153
OG0000011	MT926123.1_00065	HF920637.1_00217
OG0000012	MT926123.1_00022	HF920637.1_00001
OG0000013	MT926123.1_00058	HF920637.1_00017
OG0000014	MT926123.1_00120	HF920637.1_00108
OG0000015	MT926123.1_00121	HF920637.1_00152
OG0000016	MT926123.1_00090	HF920637.1_00079
OG0000017	MT926123.1_00035	HF920637.1_00073
OG0000018	MT926123.1_00107	HF920637.1_00111
OG0000019	MT926123.1_00089	HF920637.1_00197
OG0000020	MT926123.1_00033	HF920637.1_00031
OG0000021	MT926123.1_00005	HF920637.1_00041
OG0000022	MT926123.1_00037	HF920637.1_00213
OG0000023	MT926123.1_00046	HF920637.1_00033
OG0000024	MT926123.1_00028	HF920637.1_00061
OG0000025	MT926123.1_00066	HF920637.1_00156
OG0000031	MT926123.1_00006	HF920637.1_00127
