Orthogroup	Daphi_LS484712.1	Irido_IIV6_AF303741.1
OG0000000	Daphi_LS484712.1_00114	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Daphi_LS484712.1_00142	Irido_IIV6_AF303741.1_00125
OG0000002	Daphi_LS484712.1_00095	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Daphi_LS484712.1_00187	Irido_IIV6_AF303741.1_00035
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Irido_IIV6_AF303741.1_00149
OG0000006	Daphi_LS484712.1_00248	Irido_IIV6_AF303741.1_00165
OG0000007	Daphi_LS484712.1_00040	Irido_IIV6_AF303741.1_00132
OG0000008	Daphi_LS484712.1_00130	Irido_IIV6_AF303741.1_00176
OG0000009	Daphi_LS484712.1_00256	Irido_IIV6_AF303741.1_00129
OG0000011	Daphi_LS484712.1_00192	Irido_IIV6_AF303741.1_00137
OG0000012	Daphi_LS484712.1_00194	Irido_IIV6_AF303741.1_00189
OG0000013	Daphi_LS484712.1_00053	Irido_IIV6_AF303741.1_00081
OG0000014	Daphi_LS484712.1_00048	Irido_IIV6_AF303741.1_00062
OG0000015	Daphi_LS484712.1_00188	Irido_IIV6_AF303741.1_00156
OG0000016	Daphi_LS484712.1_00200	Irido_IIV6_AF303741.1_00011
OG0000017	Daphi_LS484712.1_00143	Irido_IIV6_AF303741.1_00023
OG0000018	Daphi_LS484712.1_00202	Irido_IIV6_AF303741.1_00026
OG0000019	Daphi_LS484712.1_00203	Irido_IIV6_AF303741.1_00006
OG0000020	Daphi_LS484712.1_00135	Irido_IIV6_AF303741.1_00046
OG0000021	Daphi_LS484712.1_00240	Irido_IIV6_AF303741.1_00063
OG0000022	Daphi_LS484712.1_00096	Irido_IIV6_AF303741.1_00158
OG0000023	Daphi_LS484712.1_00117	Irido_IIV6_AF303741.1_00154
OG0000024	Daphi_LS484712.1_00149	Irido_IIV6_AF303741.1_00168
OG0000123	Daphi_LS484712.1_00198	Irido_IIV6_AF303741.1_00195, Irido_IIV6_AF303741.1_00178, Irido_IIV6_AF303741.1_00121
OG0000133	Daphi_LS484712.1_00197	Irido_IIV6_AF303741.1_00157
OG0000134	Daphi_LS484712.1_00057	Irido_IIV6_AF303741.1_00126
OG0000137	Daphi_LS484712.1_00251	Irido_IIV6_AF303741.1_00031
OG0000138	Daphi_LS484712.1_00063	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162
OG0000148	Daphi_LS484712.1_00133	Irido_IIV6_AF303741.1_00072
OG0000155	Daphi_LS484712.1_00211	Irido_IIV6_AF303741.1_00145, Irido_IIV6_AF303741.1_00090
OG0000167	Daphi_LS484712.1_00113	Irido_IIV6_AF303741.1_00068, Irido_IIV6_AF303741.1_00067
OG0000169	Daphi_LS484712.1_00116	Irido_IIV6_AF303741.1_00056
OG0000170	Daphi_LS484712.1_00195	Irido_IIV6_AF303741.1_00087
OG0000171	Daphi_LS484712.1_00140	Irido_IIV6_AF303741.1_00076
OG0000172	Daphi_LS484712.1_00112	Irido_IIV6_AF303741.1_00096
OG0000173	Daphi_LS484712.1_00212	Irido_IIV6_AF303741.1_00091
OG0000174	Daphi_LS484712.1_00184	Irido_IIV6_AF303741.1_00179
OG0000184	Daphi_LS484712.1_00120	Irido_IIV6_AF303741.1_00184
OG0000185	Daphi_LS484712.1_00163	Irido_IIV6_AF303741.1_00177
OG0000187	Daphi_LS484712.1_00196	Irido_IIV6_AF303741.1_00122
OG0000190	Daphi_LS484712.1_00060	Irido_IIV6_AF303741.1_00151
OG0000194	Daphi_LS484712.1_00106	Irido_IIV6_AF303741.1_00193
OG0000199	Daphi_LS484712.1_00224	Irido_IIV6_AF303741.1_00146
OG0000214	Daphi_LS484712.1_00233	Irido_IIV6_AF303741.1_00074
OG0000228	Daphi_LS484712.1_00052	Irido_IIV6_AF303741.1_00008
