Orthogroup	Daphi_LS484712.1	Rana_FV3_NC_005946.1
OG0000000	Daphi_LS484712.1_00114	Rana_FV3_NC_005946.1_00010
OG0000001	Daphi_LS484712.1_00142	Rana_FV3_NC_005946.1_00091
OG0000002	Daphi_LS484712.1_00095	Rana_FV3_NC_005946.1_00053
OG0000003	Daphi_LS484712.1_00187	Rana_FV3_NC_005946.1_00057
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Rana_FV3_NC_005946.1_00002
OG0000006	Daphi_LS484712.1_00248	Rana_FV3_NC_005946.1_00095
OG0000007	Daphi_LS484712.1_00040	Rana_FV3_NC_005946.1_00042
OG0000008	Daphi_LS484712.1_00130	Rana_FV3_NC_005946.1_00092
OG0000009	Daphi_LS484712.1_00256	Rana_FV3_NC_005946.1_00014
OG0000011	Daphi_LS484712.1_00192	Rana_FV3_NC_005946.1_00094
OG0000012	Daphi_LS484712.1_00194	Rana_FV3_NC_005946.1_00061
OG0000013	Daphi_LS484712.1_00053	Rana_FV3_NC_005946.1_00023
OG0000014	Daphi_LS484712.1_00048	Rana_FV3_NC_005946.1_00082
OG0000015	Daphi_LS484712.1_00188	Rana_FV3_NC_005946.1_00083
OG0000016	Daphi_LS484712.1_00200	Rana_FV3_NC_005946.1_00060
OG0000017	Daphi_LS484712.1_00143	Rana_FV3_NC_005946.1_00022
OG0000018	Daphi_LS484712.1_00202	Rana_FV3_NC_005946.1_00016
OG0000019	Daphi_LS484712.1_00203	Rana_FV3_NC_005946.1_00011
OG0000020	Daphi_LS484712.1_00135	Rana_FV3_NC_005946.1_00021
OG0000021	Daphi_LS484712.1_00240	Rana_FV3_NC_005946.1_00087
OG0000022	Daphi_LS484712.1_00096	Rana_FV3_NC_005946.1_00038
OG0000023	Daphi_LS484712.1_00117	Rana_FV3_NC_005946.1_00089
OG0000024	Daphi_LS484712.1_00149	Rana_FV3_NC_005946.1_00067
OG0000133	Daphi_LS484712.1_00197	Rana_FV3_NC_005946.1_00079
OG0000134	Daphi_LS484712.1_00057	Rana_FV3_NC_005946.1_00001
OG0000137	Daphi_LS484712.1_00251	Rana_FV3_NC_005946.1_00039
OG0000148	Daphi_LS484712.1_00133	Rana_FV3_NC_005946.1_00054
