Orthogroup	Daphi_LS484712.1	Irido_IIV31_HF920637.1
OG0000000	Daphi_LS484712.1_00114	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Daphi_LS484712.1_00142	Irido_IIV31_HF920637.1_00143
OG0000002	Daphi_LS484712.1_00095	Irido_IIV31_HF920637.1_00059
OG0000003	Daphi_LS484712.1_00187	Irido_IIV31_HF920637.1_00159
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Irido_IIV31_HF920637.1_00172
OG0000006	Daphi_LS484712.1_00248	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Daphi_LS484712.1_00040	Irido_IIV31_HF920637.1_00121
OG0000008	Daphi_LS484712.1_00130	Irido_IIV31_HF920637.1_00153
OG0000009	Daphi_LS484712.1_00256	Irido_IIV31_HF920637.1_00221
OG0000011	Daphi_LS484712.1_00192	Irido_IIV31_HF920637.1_00197
OG0000012	Daphi_LS484712.1_00194	Irido_IIV31_HF920637.1_00213
OG0000013	Daphi_LS484712.1_00053	Irido_IIV31_HF920637.1_00111
OG0000014	Daphi_LS484712.1_00048	Irido_IIV31_HF920637.1_00079
OG0000015	Daphi_LS484712.1_00188	Irido_IIV31_HF920637.1_00031
OG0000016	Daphi_LS484712.1_00200	Irido_IIV31_HF920637.1_00001
OG0000017	Daphi_LS484712.1_00143	Irido_IIV31_HF920637.1_00017
OG0000018	Daphi_LS484712.1_00202	Irido_IIV31_HF920637.1_00108
OG0000019	Daphi_LS484712.1_00203	Irido_IIV31_HF920637.1_00217
OG0000020	Daphi_LS484712.1_00135	Irido_IIV31_HF920637.1_00152
OG0000021	Daphi_LS484712.1_00240	Irido_IIV31_HF920637.1_00073
OG0000022	Daphi_LS484712.1_00096	Irido_IIV31_HF920637.1_00041
OG0000023	Daphi_LS484712.1_00117	Irido_IIV31_HF920637.1_00033
OG0000024	Daphi_LS484712.1_00149	Irido_IIV31_HF920637.1_00061
OG0000123	Daphi_LS484712.1_00198	Irido_IIV31_HF920637.1_00029, Irido_IIV31_HF920637.1_00198, Irido_IIV31_HF920637.1_00147, Irido_IIV31_HF920637.1_00218
OG0000133	Daphi_LS484712.1_00197	Irido_IIV31_HF920637.1_00014
OG0000134	Daphi_LS484712.1_00057	Irido_IIV31_HF920637.1_00219
OG0000137	Daphi_LS484712.1_00251	Irido_IIV31_HF920637.1_00105
OG0000138	Daphi_LS484712.1_00063	Irido_IIV31_HF920637.1_00181
OG0000148	Daphi_LS484712.1_00133	Irido_IIV31_HF920637.1_00060
OG0000155	Daphi_LS484712.1_00211	Irido_IIV31_HF920637.1_00011, Irido_IIV31_HF920637.1_00180
OG0000167	Daphi_LS484712.1_00113	Irido_IIV31_HF920637.1_00140
OG0000169	Daphi_LS484712.1_00116	Irido_IIV31_HF920637.1_00056
OG0000170	Daphi_LS484712.1_00195	Irido_IIV31_HF920637.1_00049
OG0000171	Daphi_LS484712.1_00140	Irido_IIV31_HF920637.1_00095
OG0000172	Daphi_LS484712.1_00112	Irido_IIV31_HF920637.1_00045
OG0000173	Daphi_LS484712.1_00212	Irido_IIV31_HF920637.1_00120
OG0000174	Daphi_LS484712.1_00184	Irido_IIV31_HF920637.1_00067
OG0000184	Daphi_LS484712.1_00120	Irido_IIV31_HF920637.1_00009
OG0000185	Daphi_LS484712.1_00163	Irido_IIV31_HF920637.1_00035
OG0000187	Daphi_LS484712.1_00196	Irido_IIV31_HF920637.1_00019
OG0000190	Daphi_LS484712.1_00060	Irido_IIV31_HF920637.1_00070
OG0000194	Daphi_LS484712.1_00106	Irido_IIV31_HF920637.1_00149
OG0000199	Daphi_LS484712.1_00224	Irido_IIV31_HF920637.1_00043
OG0000228	Daphi_LS484712.1_00052	Irido_IIV31_HF920637.1_00215
OG0000344	Daphi_LS484712.1_00006	Irido_IIV31_HF920637.1_00113
