Orthogroup	Daphi_LS484712.1	MCV_ML1_SDDV_OM037668.1
OG0000000	Daphi_LS484712.1_00114	MCV_ML1_SDDV_OM037668.1_00035
OG0000001	Daphi_LS484712.1_00142	MCV_ML1_SDDV_OM037668.1_00057
OG0000002	Daphi_LS484712.1_00095	MCV_ML1_SDDV_OM037668.1_00056
OG0000003	Daphi_LS484712.1_00187	MCV_ML1_SDDV_OM037668.1_00050
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	MCV_ML1_SDDV_OM037668.1_00084
OG0000006	Daphi_LS484712.1_00248	MCV_ML1_SDDV_OM037668.1_00038
OG0000007	Daphi_LS484712.1_00040	MCV_ML1_SDDV_OM037668.1_00021
OG0000008	Daphi_LS484712.1_00130	MCV_ML1_SDDV_OM037668.1_00077
OG0000009	Daphi_LS484712.1_00256	MCV_ML1_SDDV_OM037668.1_00080
OG0000011	Daphi_LS484712.1_00192	MCV_ML1_SDDV_OM037668.1_00090
OG0000012	Daphi_LS484712.1_00194	MCV_ML1_SDDV_OM037668.1_00127
OG0000013	Daphi_LS484712.1_00053	MCV_ML1_SDDV_OM037668.1_00073
OG0000014	Daphi_LS484712.1_00048	MCV_ML1_SDDV_OM037668.1_00089
OG0000015	Daphi_LS484712.1_00188	MCV_ML1_SDDV_OM037668.1_00123
OG0000016	Daphi_LS484712.1_00200	MCV_ML1_SDDV_OM037668.1_00041
OG0000017	Daphi_LS484712.1_00143	MCV_ML1_SDDV_OM037668.1_00098
OG0000018	Daphi_LS484712.1_00202	MCV_ML1_SDDV_OM037668.1_00078
OG0000019	Daphi_LS484712.1_00203	MCV_ML1_SDDV_OM037668.1_00009
OG0000020	Daphi_LS484712.1_00135	MCV_ML1_SDDV_OM037668.1_00004
OG0000021	Daphi_LS484712.1_00240	MCV_ML1_SDDV_OM037668.1_00124
OG0000022	Daphi_LS484712.1_00096	MCV_ML1_SDDV_OM037668.1_00013
OG0000023	Daphi_LS484712.1_00117	MCV_ML1_SDDV_OM037668.1_00113
OG0000024	Daphi_LS484712.1_00149	MCV_ML1_SDDV_OM037668.1_00064
OG0000204	Daphi_LS484712.1_00024	MCV_ML1_SDDV_OM037668.1_00017
