Orthogroup	Daphi_LS484712.1	MCV_MP1_RSIV_OK042108.1
OG0000000	Daphi_LS484712.1_00114	MCV_MP1_RSIV_OK042108.1_00047
OG0000001	Daphi_LS484712.1_00142	MCV_MP1_RSIV_OK042108.1_00069
OG0000002	Daphi_LS484712.1_00095	MCV_MP1_RSIV_OK042108.1_00068
OG0000003	Daphi_LS484712.1_00187	MCV_MP1_RSIV_OK042108.1_00062
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	MCV_MP1_RSIV_OK042108.1_00109
OG0000006	Daphi_LS484712.1_00248	MCV_MP1_RSIV_OK042108.1_00048
OG0000007	Daphi_LS484712.1_00040	MCV_MP1_RSIV_OK042108.1_00001
OG0000008	Daphi_LS484712.1_00130	MCV_MP1_RSIV_OK042108.1_00085
OG0000009	Daphi_LS484712.1_00256	MCV_MP1_RSIV_OK042108.1_00104
OG0000011	Daphi_LS484712.1_00192	MCV_MP1_RSIV_OK042108.1_00113
OG0000012	Daphi_LS484712.1_00194	MCV_MP1_RSIV_OK042108.1_00042
OG0000013	Daphi_LS484712.1_00053	MCV_MP1_RSIV_OK042108.1_00092
OG0000014	Daphi_LS484712.1_00048	MCV_MP1_RSIV_OK042108.1_00112
OG0000015	Daphi_LS484712.1_00188	MCV_MP1_RSIV_OK042108.1_00046
OG0000016	Daphi_LS484712.1_00200	MCV_MP1_RSIV_OK042108.1_00055
OG0000017	Daphi_LS484712.1_00143	MCV_MP1_RSIV_OK042108.1_00020
OG0000018	Daphi_LS484712.1_00202	MCV_MP1_RSIV_OK042108.1_00077
OG0000019	Daphi_LS484712.1_00203	MCV_MP1_RSIV_OK042108.1_00013
OG0000020	Daphi_LS484712.1_00135	MCV_MP1_RSIV_OK042108.1_00076
OG0000021	Daphi_LS484712.1_00240	MCV_MP1_RSIV_OK042108.1_00044
OG0000022	Daphi_LS484712.1_00096	MCV_MP1_RSIV_OK042108.1_00070
OG0000023	Daphi_LS484712.1_00117	MCV_MP1_RSIV_OK042108.1_00033
OG0000024	Daphi_LS484712.1_00149	MCV_MP1_RSIV_OK042108.1_00050
OG0000064	Daphi_LS484712.1_00002	MCV_MP1_RSIV_OK042108.1_00009
