Orthogroup	GQ273492	MK637631
OG0000000	GQ273492.1_00030 hypothetical protein	MK637631_00115 hypothetical protein
OG0000001	GQ273492.1_00008 hypothetical protein	MK637631_00025 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	MK637631_00030 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	MK637631_00114 hypothetical protein
OG0000004	GQ273492.1_00110 hypothetical protein	MK637631_00105 hypothetical protein
OG0000005	GQ273492.1_00005 hypothetical protein	MK637631_00070 hypothetical protein
OG0000006	GQ273492.1_00007 Major capsid protein	MK637631_00044 Major capsid protein
OG0000007	GQ273492.1_00022 hypothetical protein	MK637631_00017 hypothetical protein
OG0000008	GQ273492.1_00031 hypothetical protein	MK637631_00043 hypothetical protein
OG0000009	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	GQ273492.1_00056 hypothetical protein	MK637631_00086 hypothetical protein
OG0000011	GQ273492.1_00063 hypothetical protein	MK637631_00066 hypothetical protein
OG0000012	GQ273492.1_00083 hypothetical protein	MK637631_00011 hypothetical protein
OG0000013	GQ273492.1_00087 hypothetical protein	MK637631_00056 hypothetical protein
OG0000014	GQ273492.1_00103 hypothetical protein	MK637631_00100 hypothetical protein
OG0000015	GQ273492.1_00118 hypothetical protein	MK637631_00106 hypothetical protein
OG0000016	GQ273492.1_00119 hypothetical protein	MK637631_00046 hypothetical protein
OG0000017	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	GQ273492.1_00073 hypothetical protein	MK637631_00094 hypothetical protein
OG0000020	GQ273492.1_00084 hypothetical protein	MK637631_00010 hypothetical protein
OG0000021	GQ273492.1_00092 hypothetical protein	MK637631_00110 hypothetical protein
OG0000022	GQ273492.1_00108 hypothetical protein	MK637631_00104 hypothetical protein
OG0000024	GQ273492.1_00044 hypothetical protein	MK637631_00074 hypothetical protein
OG0000025	GQ273492.1_00064 hypothetical protein	MK637631_00006 hypothetical protein
OG0000026	GQ273492.1_00085 hypothetical protein	MK637631_00037 hypothetical protein
OG0000027	GQ273492.1_00106 hypothetical protein	MK637631_00101 hypothetical protein
OG0000028	GQ273492.1_00047 hypothetical protein	MK637631_00077 hypothetical protein
OG0000029	GQ273492.1_00055 hypothetical protein	MK637631_00084 hypothetical protein, MK637631_00085 hypothetical protein
OG0000030	GQ273492.1_00057 hypothetical protein	MK637631_00087 hypothetical protein
OG0000031	GQ273492.1_00001 hypothetical protein	MK637631_00001 hypothetical protein
OG0000032	GQ273492.1_00002 hypothetical protein	MK637631_00119 hypothetical protein
OG0000033	GQ273492.1_00014 hypothetical protein	ECIV_ORF26_refgen RING E3 ubiquitin ligase
OG0000034	GQ273492.1_00018 hypothetical protein	MK637631_00033 hypothetical protein
OG0000035	GQ273492.1_00019 hypothetical protein	MK637631_00021 hypothetical protein
OG0000036	GQ273492.1_00020 hypothetical protein	MK637631_00020 hypothetical protein
OG0000037	GQ273492.1_00023 hypothetical protein	MK637631_00016 hypothetical protein
OG0000038	GQ273492.1_00036 hypothetical protein	MK637631_00042 hypothetical protein
OG0000039	GQ273492.1_00048 hypothetical protein	MK637631_00079 hypothetical protein
OG0000040	GQ273492.1_00049 hypothetical protein	MK637631_00080 hypothetical protein
OG0000041	GQ273492.1_00060 hypothetical protein	MK637631_00088 hypothetical protein
OG0000042	GQ273492.1_00075 hypothetical protein	MK637631_00095 hypothetical protein
OG0000043	GQ273492.1_00078 hypothetical protein	MK637631_00096 hypothetical protein
OG0000044	GQ273492.1_00079 hypothetical protein	MK637631_00097 hypothetical protein
OG0000045	GQ273492.1_00080 hypothetical protein	MK637631_00022 hypothetical protein
OG0000046	GQ273492.1_00086 hypothetical protein	MK637631_00039 hypothetical protein
OG0000047	GQ273492.1_00091 hypothetical protein	MK637631_00111 hypothetical protein
OG0000048	GQ273492.1_00093 hypothetical protein	MK637631_00118 hypothetical protein
OG0000049	GQ273492.1_00096 hypothetical protein	MK637631_00117 hypothetical protein
OG0000050	GQ273492.1_00107 hypothetical protein	MK637631_00103 hypothetical protein
OG0000051	GQ273492.1_00112 hypothetical protein	MK637631_00108 hypothetical protein
OG0000052	GQ273492.1_00116 hypothetical protein	MK637631_00012 hypothetical protein
OG0000053	GQ273492.1_00013 hypothetical protein	MK637631_00029 hypothetical protein
OG0000054	GQ273492.1_00024 hypothetical protein	MK637631_00032 hypothetical protein
OG0000056	GQ273492.1_00089 hypothetical protein	MK637631_00055 hypothetical protein
OG0000057	GQ273492.1_00114 hypothetical protein	MK637631_00048 hypothetical protein
OG0000058	GQ273492.1_00120 hypothetical protein	MK637631_00004 hypothetical protein
OG0000059	GQ273492.1_00032 hypothetical protein	MK637631_00049 hypothetical protein
OG0000063	GQ273492.1_00074 hypothetical protein	MK637631_00102 hypothetical protein
OG0000066	GQ273492.1_00021 hypothetical protein	MK637631_00018 hypothetical protein
OG0000107	GQ273492.1_00061 hypothetical protein	MK637631_00089 hypothetical protein
OG0000114	GQ273492.1_00059 hypothetical protein	MK637631_00057 hypothetical protein
OG0000120	GQ273492.1_00077 hypothetical protein	MK637631_00107 hypothetical protein
