Orthogroup	GQ273492	AY521625
OG0000000	GQ273492.1_00030 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	GQ273492.1_00008 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	GQ273492.1_00015 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	GQ273492.1_00029 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	GQ273492.1_00110 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	GQ273492.1_00005 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	GQ273492.1_00007 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	GQ273492.1_00022 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	GQ273492.1_00031 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	GQ273492.1_00056 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	GQ273492.1_00063 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	GQ273492.1_00083 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	GQ273492.1_00087 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	GQ273492.1_00103 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	GQ273492.1_00118 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	GQ273492.1_00119 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000019	GQ273492.1_00073 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	GQ273492.1_00084 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	GQ273492.1_00092 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	GQ273492.1_00108 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	GQ273492.1_00044 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000026	GQ273492.1_00085 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000027	GQ273492.1_00106 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000031	GQ273492.1_00001 hypothetical protein	AY521625.1_00004 AY521625.1 - hypothetical protein translation
