Orthogroup	GQ273492	HF920633
OG0000000	GQ273492.1_00030 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	GQ273492.1_00008 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	GQ273492.1_00110 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	GQ273492.1_00005 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	GQ273492.1_00007 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	GQ273492.1_00022 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	GQ273492.1_00031 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	GQ273492.1_00056 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000011	GQ273492.1_00063 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000012	GQ273492.1_00083 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000013	GQ273492.1_00087 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000014	GQ273492.1_00103 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000015	GQ273492.1_00118 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000016	GQ273492.1_00119 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000017	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000018	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	HF920633.1_00158 hypothetical protein
OG0000019	GQ273492.1_00073 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	GQ273492.1_00084 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	GQ273492.1_00092 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	GQ273492.1_00108 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000024	GQ273492.1_00044 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000025	GQ273492.1_00064 hypothetical protein	HF920633.1_00047 hypothetical protein
