Orthogroup	GQ273492	KX643370
OG0000000	GQ273492.1_00030 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	GQ273492.1_00008 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	GQ273492.1_00110 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	GQ273492.1_00005 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000006	GQ273492.1_00007 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000007	GQ273492.1_00022 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000008	GQ273492.1_00031 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000009	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	GQ273492.1_00056 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	GQ273492.1_00063 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	GQ273492.1_00083 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	GQ273492.1_00087 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	GQ273492.1_00103 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	GQ273492.1_00118 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	GQ273492.1_00119 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000019	GQ273492.1_00073 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000020	GQ273492.1_00084 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000021	GQ273492.1_00092 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000022	GQ273492.1_00108 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000024	GQ273492.1_00044 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000026	GQ273492.1_00085 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000027	GQ273492.1_00106 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000028	GQ273492.1_00047 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
