Orthogroup	MW883597	AF303741
OG0000000	AF371960.1_00031 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	AF371960.1_00008 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000002	AF371960.1_00015 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000003	AF371960.1_00030 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	AF371960.1_00113 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	AF371960.1_00005 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000006	AF371960.1_00007 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000007	AF371960.1_00021 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000008	AF371960.1_00032 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	AF371960.1_00057 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000011	AF371960.1_00064 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000012	AF371960.1_00088 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000013	AF371960.1_00092 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000014	AF371960.1_00107 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000015	AF371960.1_00121 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000016	AF371960.1_00122 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000018	AF371960.1_00034 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000019	AF371960.1_00078 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000020	AF371960.1_00089 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000021	AF371960.1_00096 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000022	AF371960.1_00112 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000024	AF371960.1_00045 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000025	AF371960.1_00065 hypothetical protein	AF303741.1_00051 Dual specificity protein phosphatase H1
