Orthogroup	GQ273492	MN803438
OG0000000	GQ273492.1_00030 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	GQ273492.1_00015 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000002	GQ273492.1_00008 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	GQ273492.1_00110 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	GQ273492.1_00063 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000006	GQ273492.1_00022 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000007	GQ273492.1_00056 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000008	GQ273492.1_00118 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000009	GQ273492.1_00119 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000010	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	MN803438.1_00035 hypothetical protein
OG0000011	GQ273492.1_00103 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000012	GQ273492.1_00007 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000013	GQ273492.1_00083 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000014	GQ273492.1_00087 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000015	GQ273492.1_00031 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000016	GQ273492.1_00005 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000017	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	MN803438.1_00013 hypothetical protein
OG0000018	GQ273492.1_00084 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000019	GQ273492.1_00108 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000020	GQ273492.1_00092 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000021	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000022	GQ273492.1_00044 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000023	GQ273492.1_00073 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000025	GQ273492.1_00006 hypothetical protein	MN803438.1_00145 hypothetical protein
OG0000027	GQ273492.1_00085 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000028	GQ273492.1_00106 hypothetical protein	MN803438.1_00126 hypothetical protein
OG0000029	GQ273492.1_00047 hypothetical protein	MN803438.1_00054 hypothetical protein
