Orthogroup	MK689685.1	L63545.1
OG0000000	MK689685.1_00029	L63545.1_00007
OG0000001	MK689685.1_00008	L63545.1_00035
OG0000002	MK689685.1_00007	L63545.1_00079
OG0000003	MK689685.1_00015	L63545.1_00076
OG0000004	MK689685.1_00110	L63545.1_00001
OG0000005	MK689685.1_00094	L63545.1_00056
OG0000006	MK689685.1_00075	L63545.1_00093
OG0000007	MK689685.1_00089	L63545.1_00090
OG0000008	MK689685.1_00028	L63545.1_00108
OG0000009	MK689685.1_00111	L63545.1_00024
OG0000011	MK689685.1_00061	L63545.1_00069
OG0000012	MK689685.1_00021	L63545.1_00071
OG0000013	MK689685.1_00054	L63545.1_00004
OG0000014	MK689685.1_00118	L63545.1_00030
OG0000015	MK689685.1_00119	L63545.1_00110
OG0000016	MK689685.1_00086	L63545.1_00073
OG0000017	MK689685.1_00032	L63545.1_00072
OG0000018	MK689685.1_00105	L63545.1_00068
OG0000019	MK689685.1_00085	L63545.1_00009
OG0000020	MK689685.1_00030	L63545.1_00098
OG0000021	MK689685.1_00005	L63545.1_00043
OG0000022	MK689685.1_00034	L63545.1_00013
OG0000023	MK689685.1_00043	L63545.1_00054
OG0000026	MK689685.1_00108	L63545.1_00002
OG0000027	MK689685.1_00087	L63545.1_00058
OG0000028	MK689685.1_00046	L63545.1_00003
