Orthogroup	PP974677	MF599468
OG0000000	AF371960.1_00031 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	AF371960.1_00008 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	AF371960.1_00015 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	AF371960.1_00030 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	AF371960.1_00113 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	AF371960.1_00005 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	AF371960.1_00007 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	AF371960.1_00021 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	AF371960.1_00032 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AF371960.1_00057 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000011	AF371960.1_00064 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000012	AF371960.1_00088 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000013	AF371960.1_00092 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000014	AF371960.1_00107 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000015	AF371960.1_00121 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000016	AF371960.1_00122 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000018	AF371960.1_00034 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000019	AF371960.1_00078 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	AF371960.1_00089 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	AF371960.1_00096 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	AF371960.1_00112 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000030	AF371960.1_00058 hypothetical protein	MF599468.1_00013 MF599468.1 - hypothetical protein translation
OG0000064	AF371960.1_00099 hypothetical protein	MF599468.1_00131 MF599468.1 - hypothetical protein translation
